ASM_ACCESSION,NCBI_TAXID,SPECIES_IN,STRAIN,PHYLUM,SUBPHYLUM,CLASS,SUBCLASS,ORDER,FAMILY,GENUS,SPECIES,Date,Genome_coverage,Assembly_method,Sequencing_technology,Assembly_type,Assembly_level,scaffold_N50,scaffold_count,total_length,gene_count,gene_length_mean,exon_count,exon_length_mean,CDS_count,CDS_length_mean,intron_count,intron_length_mean,softmasked_percent,GC_percent
GCA_018343915.1_ASM1834391v1,39291,Agroathelia rolfsii,GP3,Basidiomycota,,Agaricomycetes,,Amylocorticiales,Amylocorticiaceae,Agroathelia,Agroathelia rolfsii,2021-05-12,92.33x,FALCON v. August-2018,PacBio Sequel,haploid,Contig,,,37673359,0,0,0,0,0,0,0,0,11.06,46.44
GCA_031001845.1_ASM3100184v1,1934374,Achaetomiella virescens,148.68,Ascomycota,,Sordariomycetes,,Sordariales,Chaetomiaceae,Achaetomiella,Achaetomiella virescens,2023-08-30,98.0x,HGAP v. Unknown,PacBio,haploid,Contig,,,34258665,0,0,0,0,0,0,0,0,11.51,55.07
GCA_022813625.1_ASM2281362v1,3025424,Aaosphaeria pasadenensis,FJI-L9-BK-P1,Ascomycota,,Dothideomycetes,,Pleosporales,,Aaosphaeria,Aaosphaeria pasadenensis,2022-04-04,80x,SPAdes v. 3.11.1,Illumina NovaSeq,haploid,Scaffold,943274,120,38797400,0,0,0,0,0,0,0,0,7.66,49.73
GCA_029719445.1_ASM2971944v1,79798,Agaricus blazei,JA-15036,Basidiomycota,,Agaricomycetes,,Agaricales,Agaricaceae,Agaricus,Agaricus blazei,2023-04-13,79.0x,FALCON SMRT Link v. 5.0.1,PacBio RSII,haploid,Contig,,,38686133,0,0,0,0,0,0,0,0,9.27,47.05
GCA_030783385.1_ASM3078338v1,132109,Akanthomyces dipterigenus,MBC 701,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces dipterigenus,2023-08-17,190.6915x,CLC NGS Cell v. 21,Illumina NovaSeq,haploid,Contig,,,33553279,0,0,0,0,0,0,0,0,8.87,53.78
GCA_029945375.1_Asub-V01,87252,Agaricus subrufescens,ABL 49,Basidiomycota,,Agaricomycetes,,Agaricales,Agaricaceae,Agaricus,Agaricus subrufescens,2023-05-08,320.0x,MaSuRCA v. 4.0.7,Illumina; Oxford Nanopore GridION,haploid,Chromosome,3166853,45,44662661,0,0,0,0,0,0,0,0,8.25,46.64
GCA_020081605.1_ASM2008160v1,1859699,Albifimbria verrucaria,IMI 368023,Ascomycota,,Sordariomycetes,,Hypocreales,Stachybotryaceae,Albifimbria,Albifimbria verrucaria,2021-09-21,171.0x,Flye v. 2.7-b1585,Oxford Nanopore MinION,haploid,Scaffold,5352524,62,48482211,0,0,0,0,0,0,0,0,6.28,49.33
GCA_001600555.1_JCM_11844_assembly_v001,1635095,Albophoma yamanashiensis,JCM 11844,Ascomycota,,Sordariomycetes,,Hypocreales,Ophiocordycipitaceae,Albophoma,Albophoma yamanashiensis,2016-03-01,325x,ALLPATHS-LG v. 52488,HiSeq 2500,haploid,Scaffold,4519820,66,31390562,0,0,0,0,0,0,0,0,10.20,56.66
GCA_019677225.1_ASM1967722v1,2733465,Absidia healeyae,UoMAU1,Mucoromycota,,Mucoromycetes,,Mucorales,Cunninghamellaceae,Absidia,Absidia healeyae,2021-08-18,50.0x,Velvet v. 7.0.4,Illumina HiSeq,haploid,Scaffold,33835,2625,43508936,0,0,0,0,0,0,0,0,30.02,38.52
GCA_028476805.1_ASM2847680v1,1589764,Acrocalymma vagum,A21,Ascomycota,,Dothideomycetes,,Pleosporales,Morosphaeriaceae,Acrocalymma,Acrocalymma vagum,2023-02-06,285.0x,Flye v. 2.5,PacBio Sequel,haploid,Scaffold,129927,2196,55745741,0,0,0,0,0,0,0,0,7.97,47.90
GCA_030565225.1_ASM3056522v1,1936035,Allodekkera sacchari,CBS 14167,Ascomycota,,Saccharomycetes,,Saccharomycetales,Pichiaceae,Allodekkera,Allodekkera sacchari,2023-07-31,207.199239158x,SPADES v. 3.7,Illumina HiSeq,haploid,Scaffold,138291,206,13278534,0,0,0,0,0,0,0,0,8.86,43.24
GCA_964017145.1_gfAgrPrae1.1,71668,Agrocybe praecox,,Basidiomycota,,Agaricomycetes,,Agaricales,Strophariaceae,Agrocybe,Agrocybe praecox,2024-03-23,217x,various,"PacBio,Arima2",haploid (principal pseudohaplotype of diploid),Chromosome,3782526,375,59328098,0,0,0,0,0,0,0,0,9.38,45.40
GCA_019677255.1_ASM1967725v1,2735258,Absidia sp. UoMAU379,UoMAU379,Mucoromycota,,Mucoromycetes,,Mucorales,Cunninghamellaceae,Absidia,Absidia sp. UoMAU379,2021-08-18,41.0x,Velvet v. 7.0.4,Illumina HiSeq,haploid,Scaffold,19150,5383,49417851,0,0,0,0,0,0,0,0,34.95,35.82
GCA_013376435.1_ASM1337643v1,64608,Agrocybe cylindracea,AC9,Basidiomycota,,Agaricomycetes,,Agaricales,Strophariaceae,Agrocybe,Agrocybe cylindracea,2020-06-29,161.5x,Platanus v. 1.2.1,Illumina HiSeq; PacBio,haploid,Scaffold,547283,3790,56488834,0,0,0,0,0,0,0,0,8.68,50.20
GCA_030581615.1_ASM3058161v1,27309,Alloascoidea africana,NRRL Y-6762-3,Ascomycota,,Saccharomycetes,,Saccharomycetales,Alloascoideaceae,Alloascoidea,Alloascoidea africana,2023-07-31,88.2911248127x,SPADES v. 3.7,Illumina HiSeq,haploid,Scaffold,294430,465,23700382,0,0,0,0,0,0,0,0,12.56,42.47
GCA_001600815.1_JCM_7604_assembly_v001,54196,Alloascoidea hylecoeti,JCM 7604,Ascomycota,,Saccharomycetes,,Saccharomycetales,Alloascoideaceae,Alloascoidea,Alloascoidea hylecoeti,2016-03-01,139x,ALLPATHS-LG v. 52488,HiSeq 2500,haploid,Scaffold,949999,136,24815695,0,0,0,0,0,0,0,0,24.92,31.08
GCA_000222935.2_AciTa_1.0,1036760,Aciculosporium take MAFF-241224,MAFF-241224,Ascomycota,,Sordariomycetes,,Hypocreales,Clavicipitaceae,Aciculosporium,Aciculosporium take,2011-08-03,18.5x,Newbler v. 2.5.3,454 GS FLX Titanium,haploid,Contig,,,58836405,0,0,0,0,0,0,0,0,52.50,40.15
GCA_009733775.1_ASM973377v1,111643,Alectoria sarmentosa,MAF-Lich 21536,Ascomycota,,Lecanoromycetes,,Lecanorales,Parmeliaceae,Alectoria,Alectoria sarmentosa,2019-12-06,54.0x,SPAdes v. 3.9.0,Illumina MiSeq,haploid,Scaffold,93085,915,39958285,0,0,0,0,0,0,0,0,28.96,40.21
GCA_024752435.1_ASM2475243v1,1484957,Allantophomopsis cytisporea,ATCC 66955,Ascomycota,,Leotiomycetes,,Phacidiales,Phacidiaceae,Allantophomopsis,Allantophomopsis cytisporea,2022-08-28,47X,raven v. 1.8.1,Oxford Nanopore MinION; Illumina HiSeq; Illumina MiSeq,haploid,Complete Genome,1994825,19,34966032,0,0,0,0,0,0,0,0,7.54,45.77
GCA_024752465.1_ASM2475246v1,334518,Allantophomopsis lycopodina,ATCC 66958,Ascomycota,,Leotiomycetes,,Phacidiales,Phacidiaceae,Allantophomopsis,Allantophomopsis lycopodina,2022-08-28,31X,raven v. 1.8.1,Oxford Nanopore MinION; Illumina HiSeq; Illumina MiSeq,haploid,Complete Genome,1918003,19,33979655,0,0,0,0,0,0,0,0,7.15,45.35
GCA_022814545.1_ASM2281454v1,1187901,Alternaria angustiovoidea,FKII-L2-CM-DRAB1,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria angustiovoidea,2022-04-04,80x,SPAdes v. 3.11.1,Illumina NovaSeq,haploid,Scaffold,1397744,137,34215686,0,0,0,0,0,0,0,0,5.55,51.05
GCA_036971565.1_ALTB1129b1.0,1281297,Alternaria alternarina,TB-1129,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria alternarina,2024-03-04,35.4x,CLC GENOMICS WORKBENCH v. 12.0.2,Illumina NovaSeq,haploid,Scaffold,1175178,85,33307802,0,0,0,0,0,0,0,0,5.16,51.02
GCA_037044435.1_ASM3704443v1,1111114,Alternaria alstroemeriae,LH_A124,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria alstroemeriae,2024-03-06,0.986x,SPAdes v. 3.15.4,Illumina,haploid,Contig,,,35492742,0,0,0,0,0,0,0,0,9.51,48.90
GCA_036768465.1_ASM3676846v1,29911,Alternaria brassicae,PNT,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria brassicae,2024-02-22,300x,Flye v. 2.8.1,PacBio,haploid,Complete Genome,3537936,10,33821513,0,0,0,0,0,0,0,0,2.48,50.99
GCA_002796735.1_ASM279673v1,29001,Alternaria brassicicola,Abra43,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria brassicicola,2017-11-27,120.0x,HGAP v. 3,PacBio,haploid,Contig,,,31036461,0,0,0,0,0,0,0,0,8.35,50.85
GCA_020284155.1_ASM2028415v1,2738401,Alternaria cf. alternata,R-IC-06-P1,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria cf. alternata,2021-10-05,100x,CLC NGS Cell v. June-2020,Illumina,haploid,Scaffold,2024098,110,33706137,0,0,0,0,0,0,0,0,5.34,51.02
GCA_001950455.1_JCM_1940_assembly_v001,230004,Alternaria consortialis,JCM 1940,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria consortialis,2016-12-09,233x,ALLPATHS-LG v. 52488,HiSeq 2500,haploid,Scaffold,2769894,23,34240857,0,0,0,0,0,0,0,0,6.31,50.51
GCA_037044395.1_ASM3704439v1,230003,Alternaria destruens,LH_A593,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria destruens,2024-03-06,0.987x,SPAdes v. 3.15.4,Illumina,haploid,Contig,,,35492060,0,0,0,0,0,0,0,0,9.51,48.90
GCA_025504955.1_ASM2550495v1,48095,Alternaria dauci,CALB1,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria dauci,2022-09-29,135.0x,FALCON v. 2022; CANU v. 1.7.1,Oxford Nanopore; Illumina NovaSeq,haploid,Contig,,,35741899,0,0,0,0,0,0,0,0,8.10,50.72
GCA_003314695.1_ASM331469v1,2175974,Albatrellus sp. MG142,MG142,Basidiomycota,,Agaricomycetes,,Russulales,Albatrellaceae,Albatrellus,Albatrellus sp. MG142,2018-07-11,32x,platanus version v. 1.2.1,Complete Genomics,haploid,Scaffold,4375,50332,59385241,0,0,0,0,0,0,0,0,30.99,48.13
GCA_038094355.1_BD703-Stobilomyces-lepidellus,3095450,Afroboletus lepidellus,UT-M0000099,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Afroboletus,Afroboletus lepidellus,2024-04-12,27.429761889827777x,SPAdes v. 3.15.5,Illumina NovaSeq,haploid,Scaffold,4823,56429,60239942,0,0,0,0,0,0,0,0,10.19,46.90
GCA_019059555.1_ASM1905955v1,160389,Alternaria longipes,CBS 540.94,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria longipes,2021-06-29,642.0x,nextdenovo v. sep-2020,Oxford Nanopore,haploid,Chromosome,3599223,15,39426105,0,0,0,0,0,0,0,0,7.29,51.01
GCA_040583965.1_DAOMC238619_v1,283353,Alternaria oregonensis,DAOMC238619,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria oregonensis,2024-07-10,50x,SPAdes v. July 2023 protocol,Illumina NextSeq,haploid,Scaffold,1025028,73,33708848,0,0,0,0,0,0,0,0,6.04,52.33
GCA_029783965.1_RDWU_Aporii_p.ctg,48098,Alternaria porri,Apn-Nashik,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria porri,2023-04-17,4.0x,Improved Phased Assembler v. 1.5.0,PacBio Sequel,haploid,Contig,,,32989564,0,0,0,0,0,0,0,0,4.42,51.06
GCA_002952155.1_ASM295215v1,48100,Alternaria solani,NL03003,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria solani,2018-02-14,150.0x,HGAP v. October 2015,PacBio,haploid,Complete Genome,2866555,10,32779142,0,0,0,0,0,0,0,0,8.12,51.32
GCA_009289805.1_ASM928980v1,644589,Alternaria gansuensis,LYZ1412,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria gansuensis,2019-10-23,22.0x,SOAPdenovo v. Mar-2017,Illumina,haploid,Contig,,,75051934,0,0,0,0,0,0,0,0,42.99,37.24
GCA_003314395.1_ASM331439v1,80570,Albatrellus ellisii,MG60,Basidiomycota,,Agaricomycetes,,Russulales,Albatrellaceae,Albatrellus,Albatrellus ellisii,2018-07-11,67x,platanus version v. 1.2.1,Complete Genomics,haploid,Scaffold,18141,30562,122761634,0,0,0,0,0,0,0,0,41.04,44.36
GCA_040584015.1_DAOMC225332_v1,3075839,Alternaria sp. DAOMC 225332,DAOMC225332,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria sp. DAOMC 225332,2024-07-10,55.9x,SPAdes v. July 2023 protocol,Illumina NextSeq,haploid,Scaffold,726374,122,32542594,0,0,0,0,0,0,0,0,6.67,52.22
GCA_040583805.1_DET2042_v1,2803140,Alternaria sp. DET2042,DET2042,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria sp. DET2042,2024-07-10,111.197x,SPAdes v. January 2021,Illumina NextSeq,haploid,Scaffold,1641767,114,36500761,0,0,0,0,0,0,0,0,10.78,50.23
GCA_040583825.1_DET2072_v1,2803138,Alternaria sp. DET2072,DET2072,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria sp. DET2072,2024-07-10,132.006x,SPAdes v. January 2021,Illumina NextSeq,haploid,Scaffold,2070373,113,36646819,0,0,0,0,0,0,0,0,10.77,50.15
GCA_040583765.1_DET2103_v1,2803137,Alternaria sp. DET2103,DET2103,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria sp. DET2103,2024-07-10,197.116x,SPAdes v. January 2021,Illumina NextSeq,haploid,Scaffold,1640649,87,32969336,0,0,0,0,0,0,0,0,5.25,52.19
GCA_024321975.1_ASM2432197v1,2896643,Alternaria sp. 'sect. Undifilum',W740-01,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria sp. 'sect. Undifilum',2022-07-19,135.46x,Pilon v. 1.24; NECAT v. 0.01,Oxford Nanopore PromethION; Illumina NovaSeq,haploid,Contig,,,74479813,0,0,0,0,0,0,0,0,39.31,40.01
GCA_040583745.1_DET2104_v1,2803136,Alternaria sp. DET2104,DET2104,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria sp. DET2104,2024-07-10,106.74x,SPAdes v. January 2021,Illumina NextSeq,haploid,Scaffold,1313974,96,32777410,0,0,0,0,0,0,0,0,5.26,52.12
GCA_040583725.1_DET2105_v1,2803135,Alternaria sp. DET2105,DET2105,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria sp. DET2105,2024-07-10,116.529x,SPAdes v. January 2021,Illumina NextSeq,haploid,Scaffold,2370420,47,33675331,0,0,0,0,0,0,0,0,6.10,52.31
GCA_040583705.1_DET2106_v1,2803134,Alternaria sp. DET2106,DET2106,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria sp. DET2106,2024-07-10,122.972x,SPAdes v. January 2021,Illumina NextSeq,haploid,Scaffold,2419528,46,33787131,0,0,0,0,0,0,0,0,6.12,52.26
GCA_033807595.1_ASM3380759v1,150365,Acrodontium crateriforme,169a,Ascomycota,,Dothideomycetes,,Mycosphaerellales,Teratosphaeriaceae,Acrodontium,Acrodontium crateriforme,2023-11-20,454.54x,flye v. 2.5,Oxford Nanopore; Illumina NovaSeq,haploid,Complete Genome,1746009,15,23104782,7899,1663.03,17995,696.21,17995,691.09,9732,82.20,5.64,49.66
GCA_040583685.1_DET2107_v1,2803133,Alternaria sp. DET2107,DET2107,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria sp. DET2107,2024-07-10,107.303x,SPAdes v. January 2021,Illumina NextSeq,haploid,Scaffold,1458522,102,32760427,0,0,0,0,0,0,0,0,5.25,52.13
GCA_040583665.1_KAS5446_v1,2803129,Alternaria sp. KAS5446,KAS5446,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria sp. KAS5446,2024-07-10,89.737x,SPAdes v. January 2021,Illumina NextSeq,haploid,Scaffold,1053440,285,33481341,0,0,0,0,0,0,0,0,5.41,52.38
GCA_040583645.1_KAS5449_v1,2803128,Alternaria sp. KAS5449,KAS5449,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria sp. KAS5449,2024-07-10,103.841x,SPAdes v. January 2021,Illumina NextSeq,haploid,Scaffold,2355419,41,33765313,0,0,0,0,0,0,0,0,6.02,52.23
GCA_040583605.1_KAS5470_v1,2803127,Alternaria sp. KAS5470,KAS5470,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria sp. KAS5470,2024-07-10,110.576x,SPAdes v. January 2021,Illumina NextSeq,haploid,Scaffold,1888051,55,33753600,0,0,0,0,0,0,0,0,6.14,52.23
GCA_040583625.1_KAS5474_v1,2803126,Alternaria sp. KAS5474,KAS5474,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria sp. KAS5474,2024-07-10,79.452x,SPAdes v. January 2021,Illumina NextSeq,haploid,Scaffold,860347,88,32527419,0,0,0,0,0,0,0,0,5.26,52.22
GCA_040583575.1_KAS5477_v1,2803125,Alternaria sp. KAS5477,KAS5477,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria sp. KAS5477,2024-07-10,117.523x,SPAdes v. January 2021,Illumina NextSeq,haploid,Scaffold,2373000,31,33617366,0,0,0,0,0,0,0,0,5.98,52.28
GCA_040583525.1_KAS5486_v1,2803124,Alternaria sp. KAS5486,KAS5486,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria sp. KAS5486,2024-07-10,117.458x,SPAdes v. January 2021,Illumina NextSeq,haploid,Scaffold,2050271,89,33712139,0,0,0,0,0,0,0,0,6.13,52.22
GCA_040583505.1_KAS5506_v1,2803123,Alternaria sp. KAS5506,KAS5506,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria sp. KAS5506,2024-07-10,87.912x,SPAdes v. January 2021,Illumina NextSeq,haploid,Scaffold,1997687,120,33717630,0,0,0,0,0,0,0,0,5.45,52.41
GCA_023621305.1_ASM2362130v1,2940395,Alternaria sp. M3903,M3903,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria sp. M3903,2022-06-01,104x,SPAdes v. 3.14.5,Illumina HiSeq,haploid,Scaffold,1167323,104,33774396,0,0,0,0,0,0,0,0,5.47,51.06
GCA_023621335.1_ASM2362133v1,2940393,Alternaria sp. M3908,M3908,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria sp. M3908,2022-06-01,102x,SPAdes v. 3.14.3,Illumina HiSeq,haploid,Scaffold,909102,118,33771355,0,0,0,0,0,0,0,0,5.47,51.06
GCA_022814335.1_ASM2281433v1,443868,Agyrium rufum,Spribille 39798,Ascomycota,,Lecanoromycetes,,Pertusariales,Pertusariaceae,Agyrium,Agyrium rufum,2022-04-04,223x,SPAdes v. 3.6.2,Illumina,haploid,Scaffold,240237,239,28047069,8370,1701.68,22718,571.07,22678,571.91,14348,88.49,9.62,48.01
GCA_023621325.1_ASM2362132v1,2940394,Alternaria sp. S3601,S3601,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria sp. S3601,2022-06-01,103x,SPAdes v. 3.14.4,Illumina HiSeq,haploid,Scaffold,1457817,75,34244541,0,0,0,0,0,0,0,0,5.64,50.87
GCA_024606205.1_ASM2460620v1,2963890,Alternaria sp. SPS-2,SPS-2,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria sp. SPS-2,2022-08-09,134.0x,Flye v. 2.5,Illumina NovaSeq,haploid,Contig,,,33400178,0,0,0,0,0,0,0,0,5.21,51.00
GCA_022814355.1_ASM2281435v1,2871812,Acarospora aff. strigata,T1882,Ascomycota,,Lecanoromycetes,,Acarosporales,Acarosporaceae,Acarospora,Acarospora aff. strigata,2022-04-04,417x,SPAdes v. 3.12.0,Illumina,haploid,Scaffold,159985,475,28651879,7941,1702.70,24313,500.02,24260,500.90,16372,83.32,12.89,48.74
GCA_030386735.1_Fv_Alternosema1,3037678,Alternosema astaquatica,1,Microsporidia,,,,,,Alternosema,Alternosema astaquatica,2023-06-30,10.0x,SPAdes v. 3.15.3,Illumina NovaSeq,haploid,Contig,,,1517482,0,0,0,0,0,0,0,0,5.72,55.77
GCF_003144295.1_Acain1,215250,Acaromyces ingoldii,MCA 4198,Basidiomycota,,Exobasidiomycetes,,Exobasidiales,Cryptobasidiaceae,Acaromyces,Acaromyces ingoldii,2018-05-21,91.4x,Allpaths-LG v. R49403,Illumina,haploid,Scaffold,3164722,28,19330111,8071,1931.22,24370,587.76,23952,528.45,16299,77.50,13.22,57.40
GCA_040583995.1_DAOMC238612_v1,216836,Alternaria triticina,DAOMC238612,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria triticina,2024-07-10,27x,SPAdes v. July 2023 protocol,Illumina NextSeq,haploid,Scaffold,696913,191,34641617,0,0,0,0,0,0,0,0,8.52,51.28
