ACCESSION,SPECIES,STRAIN,NCBI_TAXID,BIOPROJECT,ASM_LENGTH,N50,ASM_NAME
GCA_013376435.1,Agrocybe cylindracea,AC9,64608,PRJNA353318,56488834,85967,ASM1337643v1
GCA_013053245.1,Agrocybe pediades,CBS 102.39,84607,PRJNA496353,45149591,2723584,LU_AGP_1.0
GCA_964017145.1,Agrocybe praecox,,71668,PRJEB63448;PRJEB74180,59234987,522667,gfAgrPrae1.1
GCA_022814335.1,Agyrium rufum,Spribille 39798,443868,PRJNA795879,28047069,235725,ASM2281433v1
GCA_030783385.1,Akanthomyces dipterigenus,MBC 701,132109,PRJNA879330,33553279,63054,ASM3078338v1
GCA_001636795.1,Akanthomyces lecanii RCEF 1005,RCEF 1005,1081108,PRJNA72733,35594087,782161,LEL_1.0
GCF_028009165.1,Akanthomyces muscarius,Ve6,2231603,PRJNA777543,36207525,4856708,ASM2800916v1
GCA_003314395.1,Albatrellus ellisii,MG60,80570,PRJNA454572,122761634,13802,ASM331439v1
GCA_003314695.1,Albatrellus sp. MG142,MG142,2175974,PRJNA454572,59385241,3750,ASM331469v1
GCA_020081605.1,Albifimbria verrucaria,IMI 368023,1859699,PRJNA736674,48482211,5352524,ASM2008160v1
GCA_001600555.1,Albophoma yamanashiensis,JCM 11844,1635095,PRJDB3823,31390562,567446,JCM_11844_assembly_v001
GCA_905337325.1,Alectoria fallacina,,1903189,PRJEB42325,65236659,70288,GTX0161_lecanoromycete
GCA_009733775.1,Alectoria sarmentosa,MAF-Lich 21536,111643,PRJNA588068,39958285,85531,ASM973377v1
GCA_024752435.1,Allantophomopsis cytisporea,ATCC 66955,1484957,PRJNA866153,34816014,1994825,ASM2475243v1
GCA_024752465.1,Allantophomopsis lycopodina,ATCC 66958,334518,PRJNA866153,33865253,1918003,ASM2475246v1
GCA_030581615.1,Alloascoidea africana,NRRL Y-6762-3,27309,PRJNA736342,23700382,284928,ASM3058161v1
GCA_001600815.1,Alloascoidea hylecoeti,JCM 7604,54196,PRJDB3734,24815695,224558,JCM_7604_assembly_v001
GCA_030565225.1,Allodekkera sacchari,CBS 14167,1936035,PRJNA736342,13278534,131226,ASM3056522v1
GCA_027604705.1,Allomyces arbusculus,Burma 1F,64504,PRJNA581157,26482826,162290,ASM2760470v1
GCA_027604645.1,Allomyces javanicus,California 12,64505,PRJNA581158,29927322,104684,ASM2760464v1
GCA_000151295.1,Allomyces macrogynus ATCC 38327,ATCC 38327,578462,PRJNA20563;PRJNA71873,57060573,35497,A_macrogynus_V3
GCA_037044435.1,Alternaria alstroemeriae,LH_A124,1111114,PRJNA1025352,35492742,867442,ASM3704443v1
GCA_036971565.1,Alternaria alternarina,TB-1129,1281297,PRJNA748521,33307802,1175178,ALTB1129b1.0
GCF_001642055.1,Alternaria alternata,SRC1lrK2f,5599,PRJNA239482,32990834,1097884,Altal1
GCA_022814545.1,Alternaria angustiovoidea,FKII-L2-CM-DRAB1,1187901,PRJNA800051,34215686,1307716,ASM2281454v1
GCF_004154835.1,Alternaria arborescens,FERA 675,156630,PRJNA360212,33943449,862606,ASM415483v1
GCF_024043155.1,Alternaria arbusti,BMP 1465,232088,PRJNA706766,33977964,1618164,ASM2404315v1
GCF_907166805.1,Alternaria atra,CS162,119953,PRJEB42493,39606256,2320100,ALTATR162
GCA_036768465.1,Alternaria brassicae,PNT,29911,PRJNA1071297,33821513,3537936,ASM3676846v1
GCA_002796735.1,Alternaria brassicicola,Abra43,29001,PRJNA418710,31036461,2101997,ASM279673v1
GCF_013036055.1,Alternaria burnsii,CBS107.38,1187904,PRJNA600135,32958128,1486828,ASM1303605v1
GCA_020284155.1,Alternaria cf. alternata,R-IC-06-P1,2738401,PRJNA644637,33706137,1348941,ASM2028415v1
GCF_024043145.1,Alternaria conjuncta,BMP 0040,181017,PRJNA706766,36109959,1896824,ASM2404314v1
GCA_001950455.1,Alternaria consortialis,JCM 1940,230004,PRJDB3614,34240857,1021350,JCM_1940_assembly_v001
GCA_025504955.1,Alternaria dauci,CALB1,48095,PRJNA867523,35741899,2961539,ASM2550495v1
GCA_037044395.1,Alternaria destruens,LH_A593,230003,PRJNA1025352,35492060,1091695,ASM3704439v1
GCF_023757985.1,Alternaria ethzedia,BMP 0044,181014,PRJNA706766,36016348,863783,ASM2375798v1
GCA_004156025.2,Alternaria gaisen,FERA 650,167740,PRJNA360212,34346950,2110033,ASM415602v2
GCA_009289805.1,Alternaria gansuensis,LYZ1412,644589,PRJNA574205,75051934,163781,ASM928980v1
GCF_023758085.1,Alternaria hordeiaustralica,BMP 2776,1187925,PRJNA706766,36958049,952179,ASM2375808v1
GCF_024043165.1,Alternaria incomplexa,BMP 0042,1187928,PRJNA706766,33457300,1703020,ASM2404316v1
GCF_024043175.1,Alternaria infectoria,BMP 0036,45303,PRJNA706766,36515125,1179274,ASM2404317v1
GCA_019059555.1,Alternaria longipes,CBS 540.94,160389,PRJNA736258,39426105,3599223,ASM1905955v1
GCF_023757995.1,Alternaria metachromatica,BMP 0045,283354,PRJNA706766,37283841,1012319,ASM2375799v1
GCF_023758075.1,Alternaria novae-zelandiae,BMP 2774,430562,PRJNA706766,37570309,1242974,ASM2375807v1
GCA_040583965.1,Alternaria oregonensis,DAOMC238619,283353,PRJNA612050,33708848,862207,DAOMC238619_v1
GCA_019702505.1,Alternaria panax,BNCC115425,48097,PRJNA608755,34756390,2779702,ASM1970250v1
GCA_029783965.1,Alternaria porri,Apn-Nashik,48098,PRJNA916367,32989564,2657264,RDWU_Aporii_p.ctg
GCF_024291825.1,Alternaria postmessia,BMP 2775,1187938,PRJNA706766,34409470,300389,ASM2429182v1
GCF_020736505.1,Alternaria rosae,MPI-PUGE-AT-0040,1187941,PRJNA347188,33831682,3278090,Altro1
GCA_002952155.1,Alternaria solani,NL03003,48100,PRJNA391093,32779142,2866555,ASM295215v1
GCA_024321975.1,Alternaria sp. 'sect. Undifilum',W740-01,2896643,PRJNA776965,74479813,8867609,ASM2432197v1
GCA_023758125.1,Alternaria sp. Ai002NY15,Ai002NY15,2817039,PRJNA706766,36921486,1255567,ASM2375812v1
GCA_023758005.1,Alternaria sp. BMP 0032,BMP 0032,2817042,PRJNA706766,37291766,976338,ASM2375800v1
GCA_023758145.1,Alternaria sp. BMP 2799,BMP 2799,2817041,PRJNA706766,36402624,1000369,ASM2375814v1
GCA_040584015.1,Alternaria sp. DAOMC 225332,DAOMC225332,3075839,PRJNA612050,32542594,596027,DAOMC225332_v1
GCA_040583805.1,Alternaria sp. DET2042,DET2042,2803140,PRJNA612050,36500761,1537854,DET2042_v1
GCA_040583825.1,Alternaria sp. DET2072,DET2072,2803138,PRJNA612050,36646819,1669807,DET2072_v1
GCA_040583765.1,Alternaria sp. DET2103,DET2103,2803137,PRJNA612050,32969336,1374861,DET2103_v1
GCA_040583745.1,Alternaria sp. DET2104,DET2104,2803136,PRJNA612050,32777410,849002,DET2104_v1
GCA_040583725.1,Alternaria sp. DET2105,DET2105,2803135,PRJNA612050,33675331,1414195,DET2105_v1
GCA_040583705.1,Alternaria sp. DET2106,DET2106,2803134,PRJNA612050,33787131,1665593,DET2106_v1
GCA_040583685.1,Alternaria sp. DET2107,DET2107,2803133,PRJNA612050,32760427,808405,DET2107_v1
GCA_040583665.1,Alternaria sp. KAS5446,KAS5446,2803129,PRJNA612050,33481341,888939,KAS5446_v1
GCA_040583645.1,Alternaria sp. KAS5449,KAS5449,2803128,PRJNA612050,33765313,1627874,KAS5449_v1
GCA_040583605.1,Alternaria sp. KAS5470,KAS5470,2803127,PRJNA612050,33753600,1888051,KAS5470_v1
GCA_040583625.1,Alternaria sp. KAS5474,KAS5474,2803126,PRJNA612050,32527419,729837,KAS5474_v1
GCA_040583575.1,Alternaria sp. KAS5477,KAS5477,2803125,PRJNA612050,33617366,1518550,KAS5477_v1
GCA_040583525.1,Alternaria sp. KAS5486,KAS5486,2803124,PRJNA612050,33712139,1363739,KAS5486_v1
GCA_040583505.1,Alternaria sp. KAS5506,KAS5506,2803123,PRJNA612050,33717630,1429478,KAS5506_v1
GCA_023621305.1,Alternaria sp. M3903,M3903,2940395,PRJNA833221,33774396,949469,ASM2362130v1
GCA_023621335.1,Alternaria sp. M3908,M3908,2940393,PRJNA833221,33771355,765829,ASM2362133v1
GCA_003574525.1,Alternaria sp. MG1,MG1,1678846,PRJNA417218,34695644,44208,ASM357452v1
GCA_023621325.1,Alternaria sp. S3601,S3601,2940394,PRJNA833221,34244541,1295236,ASM2362132v1
GCA_024606205.1,Alternaria sp. SPS-2,SPS-2,2963890,PRJNA832572,33400178,2610814,ASM2460620v1
GCA_004156035.1,Alternaria tenuissima,FERA 1166,119927,PRJNA360212,35704180,2583941,ASM415603v1
GCF_023758025.1,Alternaria triticimaculans,BMP 0046,297637,PRJNA706766,36788567,1666515,ASM2375802v1
GCA_040583995.1,Alternaria triticina,DAOMC238612,216836,PRJNA612050,34641617,606379,DAOMC238612_v1
GCF_023758065.1,Alternaria ventricosa,BMP 2768,1187951,PRJNA706766,34687354,1329355,ASM2375806v1
GCF_023758015.1,Alternaria viburni,BMP 2772,566460,PRJNA706766,36351886,1053821,ASM2375801v1
GCA_030386735.1,Alternosema astaquatica,1,3037678,PRJNA950224,1517482,2796,Fv_Alternosema1
GCA_026054675.1,Alyxoria varia,Spribille s.n. 20.09.2020/TS-e1968,91480,PRJNA833438,25325852,348177,ASM2605467v1
GCA_001983365.1,Amanita bisporigera,Ingham01,87325,PRJNA339438,75346262,2075,ASM198336v1
GCA_001691785.3,Amanita brunnescens Koide BX004,Koide BX004,1457509,PRJNA236753,36016155,12726,ASM169178v3
GCA_023014455.1,Amanita exitialis,LH00005,262245,PRJNA679796,49118549,3025964,ASM2301445v1
GCA_023014435.1,Amanita fuliginea,LH00002,67708,PRJNA679796,60225502,3029391,ASM2301443v1
GCA_001691775.3,Amanita inopinata Kibby_2008,Kibby_2008,1457513,PRJNA236757,20082689,140420,ASM169177v3
GCA_000497225.1,Amanita jacksonii TRTC168611,,1417757,PRJNA226613,30856360,17077,AmaJack1.0
GCA_023014405.1,Amanita molliuscula,LH00009,1506954,PRJNA679796,71175040,1053316,ASM2301440v1
GCA_000827485.1,Amanita muscaria Koide BX008,Koide BX008,946122,PRJNA207684,40699759,30015,Amanita_muscaria_Koide_BX008_v1.0
GCA_023014475.1,Amanita pallidorosea,LH00007,1324310,PRJNA679796,57854386,216962,ASM2301447v1
GCA_032173475.1,Amanita phalloides,,67723,PRJNA565149,35514831,117196,ASM3217347v1
GCA_001691755.2,Amanita polypyramis BW_CC,BW_CC,1457511,PRJNA236755,19670722,63015,ASM169175v2
GCA_003316615.1,Amanita pseudoporphyria,MG37,67725,PRJNA454572,52485497,6499,ASM331661v1
GCA_023014395.1,Amanita rimosa,LH00003,580330,PRJNA679796,45347215,697900,ASM2301439v1
GCA_015039365.1,Amanita rubescens,Prilba,71933,PRJNA572471,76593165,158644,Amarub1
GCA_020011035.1,Amanita subjunquillea,LH00001,67733,PRJNA679796,53204488,218346,ASM2001103v1
GCA_002554575.1,Amanita thiersii Skay4041,SKay4041,703135,PRJNA82749,33689220,60405,Amanita_thiersii_v1.0
GCA_001430945.1,Amauroascus niger,UAMH 3544,89421,PRJNA284880,36718296,52227,ASM143094v1
GCA_001430935.1,Amauroascus verrucosus,UAMH 3576,2074759,PRJNA284880,30376016,149134,ASM143093v1
GCA_017499575.1,Amauroderma rugosum,ACCC 51706,483017,PRJNA562041,40655687,3647844,ASM1749957v1
GCA_910591945.1,Ambispora gerdemannii,MT106,144530,PRJEB45340,87965881,10266,Ambispora_gerdemannii_MT106
GCA_910591765.1,Ambispora leptoticha,FL130A,144679,PRJEB45340,197202035,5886,Ambispora_leptoticha_FL130A
GCA_030294605.1,Ambrosiella beaveri,CBS 121753,573041,PRJNA948168,27036182,205401,ASM3029460v1
GCA_017139545.1,Ambrosiella cleistominuta,CBS 141682,1906498,PRJNA631592,27084340,108394,ASM1713954v1
GCA_002778035.1,Ambrosiella xylebori,CBS 110.61,44383,PRJNA395605,27201902,1073584,ASM277803v1
GCA_003705185.2,Ambrosiozyma ambrosiae,NRRL Y-7524,53487,PRJNA429441,14791786,275979,ASM370518v2
GCA_030567475.1,Ambrosiozyma angophorae,NRRL Y-7118,53648,PRJNA736342,12054867,87533,ASM3056747v1
GCA_030579935.1,Ambrosiozyma cicatricosa,NRRL Y-17594T,44082,PRJNA736342,23266441,35897,ASM3057993v1
GCA_030572235.1,Ambrosiozyma kamigamensis,NRRL Y-63629,1382202,PRJNA736342,19176771,55874,ASM3057223v1
GCA_001599075.1,Ambrosiozyma kashinagicola,JCM 15019,489715,PRJDB3608,12320962,418399,JCM_15019_assembly_v001
GCA_030568425.1,Ambrosiozyma llanquihuensis,NRRL Y-17657,51920,PRJNA736342,13544540,103886,ASM3056842v1
GCA_003706635.2,Ambrosiozyma maleeae (nom. inval.),NRRL Y-63635,904902,PRJNA429441,12697394,668977,ASM370663v2
GCA_001599995.1,Ambrosiozyma monospora,JCM 7599,43982,PRJDB3677,24978438,206887,JCM_7599_assembly_v001
GCA_030567495.1,Ambrosiozyma neoplatypodis,NRRL Y-63630,1382203,PRJNA736342,18833552,51824,ASM3056749v1
GCA_003706315.3,Ambrosiozyma oregonensis (nom. inval.),NRRL Y-6106,1382206,PRJNA429441,15100962,334567,ASM370631v3
GCA_003707675.3,Ambrosiozyma philentoma,NRRL Y-7523,43984,PRJNA429441,17467286,547646,ASM370767v3
GCA_030557395.1,Ambrosiozyma platypodis,NRRL Y-6732,36918,PRJNA736342,16279223,178095,ASM3055739v1
GCA_003707895.3,Ambrosiozyma pseudovanderkliftii,NRRL Y-63632,489716,PRJNA429441,14375358,232438,ASM370789v3
GCA_003705225.2,Ambrosiozyma vanderkliftii,NRRL Y-63633,489717,PRJNA429441,14491520,72218,ASM370522v2
GCA_004802645.1,Amesia nigricolor,F5,1934353,PRJNA530288,31024310,4645178,ASM480264v1
GCA_010015725.1,Amniculicola lignicola CBS 123094,CBS 123094,1392246,PRJNA217192,49576578,131161,Amnli1
GCA_018985225.1,Amoeboradix gromovi,X-113,2109901,PRJNA668693,10522442,13323,ASM1898522v1
GCF_003019875.1,Amorphotheca resinae ATCC 22711,ATCC 22711,857342,PRJNA207866,28632918,216801,Amore1
GCA_018398575.1,Ampelomyces quisqualis,BRIP 72107,50730,PRJNA725554,40378121,2994887,ASM1839857v1
GCA_001875675.1,Amphiamblys sp. WSBS2006,WSBS2006,1866961,PRJNA321520,5620147,10678,ASM187567v1
GCA_004123355.1,Amphirosellinia nigrospora,JS-1675,743113,PRJNA515207,48177783,5660951,ASM412335v1
GCA_019669835.1,Amylocarpus encephaloides,TRa018bII,45428,PRJNA347005,46286790,65840,Amyenc1
GCA_022376435.1,Amylocystis lapponica,SKaAmylap13,202700,PRJNA370002,35500685,160229,Amylap1_1
GCA_036971615.1,Amyloporia xantha,YAFMF0618,1333629,PRJNA1048181,46808119,1480651,ASM3697161v1
GCA_012932865.1,Amylostereum areolatum,HG-01,103385,PRJNA513942,57567124,518329,ASM1293286v1
GCA_022385825.1,Amylostereum chailletii,DWAch2,55340,PRJNA265560,38204724,13220,Amycha1
GCA_002104895.1,Anaeromyces robustus,S4,1754192,PRJNA330692,71685009,141798,Anaeromyces_sp._S4_v1.0
GCA_038502455.1,Anisogramma anomala,OR1,529478,PRJNA966177,342498352,223120,ASM3850245v1
GCA_000385875.2,Anncaliia algerae PRA339,PRA339,1288291,PRJNA188095,12163397,5402,Annc_alge_insect_USDA_JJB_V2
GCA_022836615.1,Annulohypoxylon bovei var. microspora,CBS 124037,326617,PRJNA567100,41758719,194784,Annbov1
GCF_022496945.1,Annulohypoxylon maeteangense,CBS 123835,1927788,PRJNA583852,38245008,1147713,Annmae1
GCA_022695765.1,Annulohypoxylon moriforme,CBS 123579,326622,PRJNA567194,42658955,296637,Annmor1
GCA_022496965.1,Annulohypoxylon nitens,CBS 120705,326626,PRJNA567196,38537808,1171268,Annnit1
GCA_040104375.1,Annulohypoxylon sp. FPYF3050,FPYF3050,2857486,PRJNA1116787,43344577,3896947,ASM4010437v1
GCA_040126005.1,Annulohypoxylon stygium,TJAS01,326628,PRJNA1119705,38763155,4183141,TJAS01
GCF_022578515.1,Annulohypoxylon truncatum,CBS 140777,327061,PRJNA567198,38067699,587353,Anntru1
GCA_010623925.1,Antarctomyces pellizariae,UFMG-CB-12416,1955577,PRJNA576065,24217994,220359,ASM1062392v1
GCA_963556695.1,Anthostomella pinea,,933095,PRJEB67537,53760342,5428629,KHLLAP
GCA_014826065.1,Anthracocystis panici-leucophaei,SPL10,249478,PRJNA648134,18837883,969070,ASM1482606v1
GCA_928724745.1,Anthracocystis setariae,BRIP 26904 a,882916,PRJEB50498,21488978,921621,BRIP_26904_a
GCA_928858565.1,Anthracocystis walkeri,RK 031,1134040,PRJEB50362,18415360,1158577,RK031
GCA_007674295.1,Antonospora locustae,CLX,278021,PRJNA353563,3171376,183675,ASM767429v1
GCA_022598655.1,Antrodia cinnamomea,V5,279009,PRJNA386064,32855596,2407266,ASM2259865v1
GCA_004802725.1,Antrodiella citrinella,DSM 108506,2447956,PRJNA517448,33017182,63230,ASM480272v1
GCA_015345905.1,Aotearoamyces nothofagi,ICMP 21868,2592879,PRJNA666936,26044277,520994,ASM1534590v1
GCA_014839905.1,Aphanoascus verrucosus,IHEM 4434,180776,PRJNA656725,23059040,413338,ASM1483990v1
GCA_029218145.1,Aphanocladium album,MX95,12942,PRJNA937677,35117533,38109,ASM2921814v1
GCA_030549205.1,Apiosordaria backusii,CBS 540.89,314023,PRJNA371214,40188346,2878263,Apibac1
GCA_039105305.1,Apiospora arundinis,AAU 773,335852,PRJNA891674,48741668,5301101,ASM3910530v1
GCF_038362705.1,Apiospora aurea,CBS 24483,335848,PRJNA923254,49776134,5466563,ASM3836270v1
GCA_040333125.1,Apiospora guizhouensis,F035,2044991,PRJNA1116794,45863221,612443,ASM4033312v1
GCF_038363865.1,Apiospora hydei,CBS 114990,1337664,PRJNA923254,47384980,5506969,ASM3836386v1
GCF_038363985.1,Apiospora kogelbergensis,CBS 113332,1337665,PRJNA923254,46602209,5256650,ASM3836398v1
GCA_006508115.1,Apiospora malaysiana,STlab-iicb,1337666,PRJNA484135,46110019,336634,ASM650811v1
GCF_038362585.1,Apiospora marii,CBS 49790,335849,PRJNA923254,51094086,5090723,ASM3836258v1
GCF_038363925.1,Apiospora phragmitis,CBS 135458,2905665,PRJNA923254,52445507,3519214,ASM3836392v1
GCA_019976485.1,Apiospora pterosperma,CBS 123185,1337662,PRJNA698786,44521400,4729002,ASM1997648v1
GCA_038363885.1,Apiospora rasikravindrae,CBS 33761,990691,PRJNA923254,46378008,5079597,ASM3836388v1
GCA_038363915.1,Apiospora saccharicola,CBS 83171,335842,PRJNA923254,51869161,5902260,ASM3836391v1
GCA_038364195.1,Apiospora sp. TS-2023a,CBS 14255,3021424,PRJNA923254,50607532,4997050,ASM3836419v1
GCA_040366785.1,Apiospora sphaerosperma,JCM 6018,2938339,PRJDB3638,51071855,396199,JCM_6018_assembly_v001
GCA_002973495.1,Apiotrichum akiyoshidainum,HP2023,279327,PRJNA428315,30042643,53521,ASM297349v1
GCA_001600295.1,Apiotrichum brassicae,JCM 1599,82513,PRJDB3695,23647732,301042,JCM_1599_assembly_v001
GCA_040285315.1,Apiotrichum cacaoliposimilis,UB0827,879818,PRJNA1062540,23329550,415372,ASM4028531v1
GCA_001599015.1,Apiotrichum domesticum,JCM 9580,82514,PRJDB3573,24510922,628101,JCM_9580_assembly_v001
GCA_001600315.1,Apiotrichum gamsii,JCM 9941,1105092,PRJDB3703,24609388,264663,JCM_9941_assembly_v001
GCA_001600335.1,Apiotrichum gracile,JCM 10018,82516,PRJDB3704,24114851,720667,JCM_10018_assembly_v001
GCA_001600735.1,Apiotrichum laibachii,JCM 2947,82520,PRJDB3730,30616633,331945,JCM_2947_assembly_v001
GCA_001598995.1,Apiotrichum montevideense,JCM 9937,82521,PRJDB3572,24872216,510995,JCM_9937_assembly_v001
GCA_013177335.1,Apiotrichum mycotoxinovorans,CICC 1454,252803,PRJNA633776,30749651,7496769,ASM1317733v1
GCF_003942205.1,Apiotrichum porosum,DSM 27194,105984,PRJNA506377,25479456,1376709,ASM394220v1
GCA_023653615.1,Apiotrichum siamense,L8in5,265193,PRJNA812413,23186175,151613,APSI0
GCA_025530005.1,Apiotrichum sp. M3315A-1,M3315A-1,2950508,PRJNA833221,47175374,48223,ASM2553000v1
GCA_025531445.1,Apiotrichum sp. PA4207,PA4207,2950504,PRJNA833221,49164141,360258,ASM2553144v1
GCA_025531405.1,Apiotrichum sp. PDH3304B,PDH3304B,2950505,PRJNA833221,48989798,417417,ASM2553140v1
GCA_025531385.1,Apiotrichum sp. PL3306B,PL3306B,2950506,PRJNA833221,48854855,367455,ASM2553138v1
GCA_025529995.1,Apiotrichum sp. PL3309B,PL3309B,2950509,PRJNA833221,48972920,418394,ASM2552999v1
GCA_025529965.1,Apiotrichum sp. Y3305A,Y3305A,2950510,PRJNA833221,44190222,56233,ASM2552996v1
GCA_025530845.1,Apiotrichum sp. Y4201-1,Y4201-1,2950507,PRJNA833221,48722126,447180,ASM2553084v1
GCA_025531455.1,Apiotrichum sp. Y4204,Y4204,2950503,PRJNA833221,49165953,441079,ASM2553145v1
GCA_001600595.1,Apiotrichum veenhuisii,JCM 10691,105713,PRJDB3717,31617680,358142,JCM_10691_assembly_v001
GCF_010093885.1,Aplosporella prunicola CBS 121167,CBS 121167,1176127,PRJNA196034,32818685,124200,Aplpr1
GCA_033439685.1,Apodospora peruviana,CBS 118394,516989,PRJNA370049,42017045,4735592,Apope1
GCA_000696995.1,Apophysomyces elegans B7760,B7760,1274791,PRJNA184884,38467560,101064,ApoEleB7760-1.0
GCA_014839865.1,Apophysomyces ossiformis,NRRL A-21654,679940,PRJNA499679,34079843,98739,ASM1483986v1
GCA_016097715.1,Apophysomyces sp. BC1015,BC1015,2184030,PRJNA463337,37625439,32585,ASM1609771v1
GCA_016097735.1,Apophysomyces sp. BC1021,BC1021,2184031,PRJNA463336,35139595,34158,ASM1609773v1
GCA_016097755.1,Apophysomyces sp. BC1034,BC1034,2184029,PRJNA463335,37767103,34252,ASM1609775v1
GCA_000696975.1,Apophysomyces trapeziformis B9324,B9324,1274790,PRJNA184883,35840759,141065,ApoTraB9324-1.0
GCA_002749535.1,Apophysomyces variabilis,NCCPF 102052,760013,PRJNA379216,39322312,147966,ASM274953v1
GCA_003415625.1,Aquanectria penicillioides,NNIBRFG19,1634478,PRJNA445064,53763490,4037603,ASM341562v1
GCA_949709995.1,Arachnomyces peruvianus,,2219007,PRJEB60196;PRJEB60736,34558840,1462005,gpAraPeru1.1
GCA_032988195.1,Arachnomyces sp. PD_36,PD_36,2135914,PRJNA439304,31316195,487771,ASM3298819v1
GCA_003988855.1,Arachnopeziza araneosa,D781,2259763,PRJNA487672,40453245,208374,ASM398885v1
GCA_022818075.1,Armillaria altimontana,837-10,1156164,PRJNA766083,73739702,1627506,ASM2281807v1
GCA_030435635.1,Armillaria borealis,FPL87.14,47425,PRJNA519861,71689880,355568,Armbor1
