ACCESSION,SPECIES,STRAIN,NCBI_TAXID,BIOPROJECT,ASM_LENGTH,N50,ASM_NAME
GCA_016098105.1,Actinomortierella wolfii,NRRL 6351,90253,PRJNA340479,34232935,56063,UCR_MwolfiiNRRL6351_1.0
GCA_001599635.1,Actinomucor elegans,JCM 22485,64647,PRJDB3556;PRJDB3646,34171183,195194,JCM_22485_assembly_v001
GCA_004216415.1,Aeminium ludgeri,E14,2518135,PRJNA520871,22585551,144419,S18-22
GCA_002718315.1,Agaricales sp. HM26-F1,HM26-F1,2607230,PRJNA388831,32238363,1023127,ASM271831v1
GCF_000300575.1,Agaricus bisporus var. bisporus,H97,192523,PRJNA61005,30233745,262535,Agabi_varbisH97_2
GCA_022315185.1,Agaricus sinodeliciosus,ZRL20160001-S65,1550288,PRJNA744025,32482119,1261485,ASM2231518v1
GCA_013376435.1,Agrocybe cylindracea,AC9,64608,PRJNA353318,56488834,85967,ASM1337643v1
GCA_013053245.1,Agrocybe pediades,CBS 102.39,84607,PRJNA496353,45149591,2723584,LU_AGP_1.0
GCA_022814335.1,Agyrium rufum,Spribille 39798,443868,PRJNA795879,28047069,235725,ASM2281433v1
GCA_001636795.1,Akanthomyces lecanii,RCEF 1005,2714763,PRJNA72733,35594087,782161,LEL 1.0
GCA_003314395.1,Albatrellus ellisii,MG60,80570,PRJNA454572,122761634,13802,ASM331439v1
GCA_003314695.1,Albatrellus sp. MG142,MG142,2175974,PRJNA454572,59385241,3750,ASM331469v1
GCA_020081605.1,Albifimbria verrucaria,IMI 368023,1859699,PRJNA736674,48482211,5352524,ASM2008160v1
GCA_001600555.1,Albophoma yamanashiensis,JCM 11844,1635095,PRJDB3556;PRJDB3823,31390562,567446,JCM_11844_assembly_v001
GCA_905337325.1,Alectoria fallacina,,1903189,PRJEB42325,65236659,70288,GTX0161_lecanoromycete
GCA_009733775.1,Alectoria sarmentosa,MAF-Lich 21536,111643,PRJNA588068,39958285,85531,ASM973377v1
GCA_001600815.1,Alloascoidea hylecoeti,JCM 7604,54196,PRJDB3556;PRJDB3734,24815695,224558,JCM_7604_assembly_v001
GCA_000151295.1,Allomyces macrogynus,ATCC 38327,28583,PRJNA167910;PRJNA176382;PRJNA20563;PRJNA71873,57060573,35497,A_macrogynus_V3
GCA_020284155.1,Alternaria alstroemeriae,CBS 118809,1111114,PRJNA644637,33706137,1348941,ASM2028415v1
GCF_001642055.1,Alternaria alternata,SRC1lrK2f,5599,PRJNA239482,32990834,1097884,Altal1
GCA_022814545.1,Alternaria angustiovoidea,FKII-L2-CM-DRAB1,1187901,PRJNA800051,34215686,1307716,ASM2281454v1
GCF_004154835.1,Alternaria arborescens,FERA 675,156630,PRJNA360212,33943449,862606,ASM415483v1
GCA_024043155.1,Alternaria arbusti,BMP 1465,232088,PRJNA706766,33977964,1618164,ASM2404315v1
GCF_907166805.1,Alternaria atra,CS162,119953,PRJEB42493,39606256,2320100,ALTATR162
GCA_004936725.1,Alternaria brassicae,J3,29911,PRJNA526360,33950197,2940012,ASM493672v1
GCA_002796735.1,Alternaria brassicicola,Abra43,29001,PRJNA418710,31036461,2101997,ASM279673v1
GCF_013036055.1,Alternaria burnsii,CBS107.38,1187904,PRJNA600135,32958128,1486828,ASM1303605v1
GCA_024043145.1,Alternaria conjuncta,BMP 0040,181017,PRJNA706766,36109959,1896824,ASM2404314v1
GCA_001950455.1,Alternaria consortialis,JCM 1940,230004,PRJDB3556;PRJDB3614,34240857,1021350,JCM_1940_assembly_v001
GCF_023757985.1,Alternaria ethzedia,BMP 0044,181014,PRJNA706766,36016348,863783,ASM2375798v1
GCA_004156025.2,Alternaria gaisen,FERA 650,167740,PRJNA360212,34346950,2110033,ASM415602v2
GCA_009289805.1,Alternaria gansuensis,LYZ1412,644589,PRJNA574205,75051934,163781,ASM928980v1
GCF_023758085.1,Alternaria hordeiaustralica,BMP 2776,1187925,PRJNA706766,36958049,952179,ASM2375808v1
GCA_024043165.1,Alternaria incomplexa,BMP 0042,1187928,PRJNA706766,33457300,1703020,ASM2404316v1
GCA_024043175.1,Alternaria infectoria,BMP 0036,45303,PRJNA706766,36515125,1179274,ASM2404317v1
GCA_019059555.1,Alternaria longipes,CBS 540.94,160389,PRJNA736258,39426105,3599223,ASM1905955v1
GCF_023757995.1,Alternaria metachromatica,BMP 0045,283354,PRJNA706766,37283841,1012319,ASM2375799v1
GCF_023758075.1,Alternaria novae-zelandiae,BMP 2774,430562,PRJNA706766,37570309,1242974,ASM2375807v1
GCA_019702505.1,Alternaria panax,BNCC115425,48097,PRJNA608755,34756390,2779702,ASM1970250v1
GCA_024291825.1,Alternaria postmessia,BMP 2775,1187938,PRJNA706766,34409470,300389,ASM2429182v1
GCF_020736505.1,Alternaria rosae,MPI-PUGE-AT-0040,1187941,PRJNA347188,33831682,3278090,Altro1
GCA_002952155.1,Alternaria solani,NL03003,48100,PRJNA391093,32779142,2866555,ASM295215v1
GCA_024321975.1,Alternaria sp. 'sect. Undifilum',W740-01,2896643,PRJNA776965,74479813,8867609,ASM2432197v1
GCA_023758125.1,Alternaria sp. Ai002NY15,Ai002NY15,2817039,PRJNA706766,36921486,1255567,ASM2375812v1
GCA_023758005.1,Alternaria sp. BMP 0032,BMP 0032,2817042,PRJNA706766,37291766,976338,ASM2375800v1
GCA_023758145.1,Alternaria sp. BMP 2799,BMP 2799,2817041,PRJNA706766,36402624,1000369,ASM2375814v1
GCA_023621305.1,Alternaria sp. M3903,M3903,2940395,PRJNA833221,33774396,949469,ASM2362130v1
GCA_023621335.1,Alternaria sp. M3908,M3908,2940393,PRJNA833221,33771355,765829,ASM2362133v1
GCA_003574525.1,Alternaria sp. MG1,MG1,1678846,PRJNA417218,34695644,44208,ASM357452v1
GCA_023621325.1,Alternaria sp. S3601,S3601,2940394,PRJNA833221,34244541,1295236,ASM2362132v1
GCA_004156035.1,Alternaria tenuissima,FERA 1166,119927,PRJNA360212,35704180,2583941,ASM415603v1
GCF_023758025.1,Alternaria triticimaculans,BMP 0046,297637,PRJNA706766,36788567,1666515,ASM2375802v1
GCA_022609215.1,Alternaria triticina,CBS 763.84,216836,PRJNA704231,33250431,498181,ASM2260921v1
GCF_023758065.1,Alternaria ventricosa,BMP 2768,1187951,PRJNA706766,34687354,1329355,ASM2375806v1
GCF_023758015.1,Alternaria viburni,BMP 2772,566460,PRJNA706766,36351886,1053821,ASM2375801v1
GCA_001983365.1,Amanita bisporigera,Ingham01,87325,PRJNA339438,75346262,2075,ASM198336v1
GCA_001691785.2,Amanita brunnescens,Koide BX004,87326,PRJNA236753,36025630,12726,ASM169178v2
GCA_023014455.1,Amanita exitialis,LH00005,262245,PRJNA679796,49118549,3025964,ASM2301445v1
GCA_023014435.1,Amanita fuliginea,LH00002,67708,PRJNA679796,60225502,3029391,ASM2301443v1
GCA_001691775.3,Amanita inopinata,Kibby_2008,933333,PRJNA236757,20082689,140420,ASM169177v3
GCA_023014405.1,Amanita molliuscula,LH00009,1506954,PRJNA679796,71175040,1053316,ASM2301440v1
GCA_000827485.1,Amanita muscaria,Koide BX008,41956,PRJNA207684,40699759,30015,Amanita muscaria Koide BX008 v1.0
GCA_023014475.1,Amanita pallidorosea,LH00007,1324310,PRJNA679796,57854386,216962,ASM2301447v1
GCA_001983385.1,Amanita phalloides,Alameda01,67723,PRJNA339450,40385187,21636,ASM198338v1
GCA_001691755.2,Amanita polypyramis,BW_CC,1004511,PRJNA236755,19670722,63015,ASM169175v2
GCA_003316615.1,Amanita pseudoporphyria,MG37,67725,PRJNA454572,52485497,6499,ASM331661v1
GCA_023014395.1,Amanita rimosa,LH00003,580330,PRJNA679796,45347215,697900,ASM2301439v1
GCA_015039365.1,Amanita rubescens,Prilba,71933,PRJNA572471,76593165,158644,Amarub1
GCA_020011035.1,Amanita subjunquillea,LH00001,67733,PRJNA679796,53204488,218346,ASM2001103v1
GCA_002554575.1,Amanita thiersii Skay4041,SKay4041,235537,PRJNA82749,33689220,60405,Amanita thiersii v1.0
GCA_000497225.1,AmanitajacksoniiTRTC168611,,87329,PRJNA226613,30856360,17077,AmaJack1.0
GCA_001430935.1,Amauroascus mutatus,UAMH 3576,113399,PRJNA284880,30376016,149134,ASM143093v1
GCA_001430945.1,Amauroascus niger,UAMH 3544,89421,PRJNA284880,36718296,52227,ASM143094v1
GCA_017499575.1,Amauroderma rugosum,ACCC 51706,483017,PRJNA562041,40655687,3647844,ASM1749957v1
GCA_910591945.1,Ambispora gerdemannii,MT106,144530,PRJEB45340,87965881,10266,Ambispora_gerdemannii_MT106
GCA_910591765.1,Ambispora leptoticha,FL130A,144679,PRJEB45340,197202035,5886,Ambispora_leptoticha_FL130A
GCA_017139545.1,Ambrosiella cleistominuta,CBS 141682,1906498,PRJNA631592,27084340,108394,ASM1713954v1
GCA_002778035.1,Ambrosiella xylebori,CBS 110.61,44383,PRJNA395605,27201902,1073584,ASM277803v1
GCA_003705185.1,Ambrosiozyma ambrosiae,NRRL Y-7524,53487,PRJNA429441,14868748,275979,ASM370518v1
GCA_001599075.1,Ambrosiozyma kashinagicola,JCM 15019,489715,PRJDB3556;PRJDB3608,12320962,418399,JCM_15019_assembly_v001
GCA_003706635.1,Ambrosiozyma maleeae (nom. inval.),NRRL Y-63635,904902,PRJNA429441,12741838,668977,ASM370663v1
GCA_001599995.1,Ambrosiozyma monospora,JCM 7599,43982,PRJDB3556;PRJDB3677,24978438,206887,JCM_7599_assembly_v001
GCA_003706315.2,Ambrosiozyma oregonensis (nom. inval.),NRRL Y-6106,1382206,PRJNA429441,15332403,291584,ASM370631v2
GCA_003707675.2,Ambrosiozyma philentoma,NRRL Y-7523,43984,PRJNA429441,17688425,547646,ASM370767v2
GCA_003707895.2,Ambrosiozyma pseudovanderkliftii,NRRL Y-63632,489716,PRJNA429441,14436013,232438,ASM370789v2
GCA_003705225.1,Ambrosiozyma vanderkliftii,NRRL Y-63633,489717,PRJNA429441,15620410,66281,ASM370522v1
GCA_004802645.1,Amesia nigricolor,F5,1934353,PRJNA530288,31024310,4645178,ASM480264v1
GCA_010015725.1,Amniculicola lignicola,CBS 123094,455074,PRJNA217192,49576578,131161,Amnli1
GCA_018985225.1,Amoeboradix gromovi,X-113,2109901,PRJNA668693,10522442,13323,ASM1898522v1
GCF_003019875.1,Amorphotheca resinae,ATCC 22711,5101,PRJNA207866,28632918,216801,Amore1
GCA_018398575.1,Ampelomyces quisqualis,BRIP 72107,50730,PRJNA725554,40378121,2994887,ASM1839857v1
GCA_001875675.1,Amphiamblys sp. WSBS2006,WSBS2006,1866961,PRJNA321520,5620147,10678,ASM187567v1
GCA_004123355.1,Amphirosellinia nigrospora,JS-1675,743113,PRJNA515207,48177783,5660951,ASM412335v1
GCA_019669835.1,Amylocarpus encephaloides,TRa018bII,45428,PRJNA347005,46286790,65840,Amyenc1
GCA_022376435.1,Amylocystis lapponica,SKaAmylap13,202700,PRJNA370002,35500685,160229,Amylap1_1
GCA_012932865.1,Amylostereum areolatum,HG-01,103385,PRJNA513942,57567124,518329,ASM1293286v1
GCA_022385825.1,Amylostereum chailletii,DWAch2,55340,PRJNA265560,38204724,13220,Amycha1
GCA_002104895.1,Anaeromyces robustus,S4,1754192,PRJNA330692,71685009,141798,Anaeromyces sp. S4 v1.0
GCA_000385875.2,Anncaliia algerae,PRA339,723287,PRJNA188095,12163397,5402,Annc_alge_insect_USDA_JJB_V2
GCA_022836615.1,Annulohypoxylon bovei var. microspora,CBS 124037,326617,PRJNA567100,41758719,194784,Annbov1
GCF_022496945.1,Annulohypoxylon maeteangense,CBS 123835,1927788,PRJNA583852,38245008,1147713,Annmae1
GCA_022695765.1,Annulohypoxylon moriforme,CBS 123579,326622,PRJNA567194,42658955,296637,Annmor1
GCA_022496965.1,Annulohypoxylon nitens,CBS 120705,326626,PRJNA567196,38537808,1171268,Annnit1
GCA_003314315.1,Annulohypoxylon stygium,MG137,326628,PRJNA454572,38681057,713963,ASM331431v1
GCF_022578515.1,Annulohypoxylon truncatum,CBS 140777,327061,PRJNA567198,38067699,587353,Anntru1
GCA_010623925.1,Antarctomyces pellizariae,UFMG-CB-12416,1955577,PRJNA576065,24217994,220359,ASM1062392v1
GCA_014826065.1,Anthracocystis panici-leucophaei,SPL10,249478,PRJNA648134,18837883,969070,ASM1482606v1
GCA_928724745.1,Anthracocystis setariae,BRIP 26904 a,882916,PRJEB50498,21488978,921621,BRIP_26904_a
GCA_928858565.1,Anthracocystis walkeri,RK 031,1134040,PRJEB50362,18415360,1158577,RK031
GCA_007674295.1,Antonospora locustae,CLX,278021,PRJNA353563,3171376,183675,ASM767429v1
GCA_022598655.1,Antrodia cinnamomea,V5,279009,PRJNA386064,32855596,2407266,ASM2259865v1
GCF_022376445.1,Antrodia serialis,Sig1Antser10,139415,PRJNA369999,66694225,192221,Antser1
GCA_004802725.1,Antrodiella citrinella,DSM 108506,2447956,PRJNA517448,33017182,63230,ASM480272v1
GCA_015345905.1,Aotearoamyces nothofagi,ICMP 21868,2592879,PRJNA666936,26044277,520994,ASM1534590v1
GCA_014839905.1,Aphanoascus verrucosus,IHEM 4434,180776,PRJNA656725,23059040,413338,ASM1483990v1
GCA_006508115.1,Apiospora malaysiana,STlab-iicb,1337666,PRJNA484135,46110019,336634,ASM650811v1
GCA_019976485.1,Apiospora pterosperma,CBS 123185,1337662,PRJNA698786,44521400,4729002,ASM1997648v1
GCA_022605435.1,Apiospora rasikravindrae,AQZ-20,990691,PRJNA661692,45874955,2356432,ASM2260543v1
GCA_019000065.1,Apiospora saccharicola,KUC21221,335842,PRJNA692538,55074194,3269722,ASM1900006v1
GCA_002973495.1,Apiotrichum akiyoshidainum,HP2023,279327,PRJNA428315,30042643,53521,ASM297349v1
GCA_001600295.1,Apiotrichum brassicae,JCM 1599,82513,PRJDB3556;PRJDB3695,23647732,301042,JCM_1599_assembly_v001
GCA_001599015.1,Apiotrichum domesticum,JCM 9580,82514,PRJDB3556;PRJDB3573,24510922,628101,JCM_9580_assembly_v001
GCA_001600315.1,Apiotrichum gamsii,JCM 9941,1105092,PRJDB3556;PRJDB3703,24609388,264663,JCM_9941_assembly_v001
GCA_001600335.1,Apiotrichum gracile,JCM 10018,82516,PRJDB3556;PRJDB3704,24114851,720667,JCM_10018_assembly_v001
GCA_001600735.1,Apiotrichum laibachii,JCM 2947,82520,PRJDB3556;PRJDB3730,30616633,331945,JCM_2947_assembly_v001
GCA_001598995.1,Apiotrichum montevideense,JCM 9937,82521,PRJDB3556;PRJDB3572,24872216,510995,JCM_9937_assembly_v001
GCA_013177335.1,Apiotrichum mycotoxinovorans,CICC 1454,252803,PRJNA633776,30749651,7496769,ASM1317733v1
GCF_003942205.1,Apiotrichum porosum,DSM 27194,105984,PRJNA506377,25479456,1376709,ASM394220v1
GCA_023653615.1,Apiotrichum siamense,L8in5,265193,PRJNA812413,23186175,151613,APSI0
GCA_001600595.1,Apiotrichum veenhuisii,JCM 10691,105713,PRJDB3556;PRJDB3717,31617680,358142,JCM_10691_assembly_v001
GCF_010093885.1,Aplosporella prunicola,CBS 121167,462254,PRJNA196034,32818685,124200,Aplpr1
GCA_000696995.1,Apophysomyces elegans,B7760,90269,PRJNA184884,38467560,101064,ApoEleB7760-1.0
GCA_014839865.1,Apophysomyces ossiformis,NRRL A-21654,679940,PRJNA499679,34079843,98739,ASM1483986v1
GCA_016097715.1,Apophysomyces sp. BC1015,BC1015,2184030,PRJNA463337,37625439,32585,ASM1609771v1
GCA_016097735.1,Apophysomyces sp. BC1021,BC1021,2184031,PRJNA463336,35139595,34158,ASM1609773v1
GCA_016097755.1,Apophysomyces sp. BC1034,BC1034,2184029,PRJNA463335,37767103,34252,ASM1609775v1
GCA_000696975.1,Apophysomyces trapeziformis,B9324,679948,PRJNA184883,35840759,141065,ApoTraB9324-1.0
GCA_002749535.1,Apophysomyces variabilis,NCCPF 102052,760013,PRJNA379216,39322312,147966,ASM274953v1
GCA_003415625.1,Aquanectria penicillioides,NNIBRFG19,1634478,PRJNA445064,53763490,4037603,ASM341562v1
GCA_003988855.1,Arachnopeziza araneosa,D781,2259763,PRJNA487672,40453245,208374,ASM398885v1
GCA_022818075.1,Armillaria altimontana,837-10,1156164,PRJNA766083,73739702,1627506,ASM2281807v1
GCA_013427175.2,Armillaria borealis,AB13-TR4-IP16,47425,PRJNA603128,66593114,14259,ASM1342717v2
GCA_900157415.1,Armillaria cepistipes,B5,47426,PRJEB19205,75519607,2288895,version 2
GCA_001679825.1,Armillaria fuscipes,CMW2740,108572,PRJNA315660,52984320,4876,ASM167982v1
GCA_012064365.1,Armillaria gallica,012m,47427,PRJNA561899,87305441,2159699,YMU_Armga_1.1
GCA_900157425.1,Armillaria ostoyae,C18/9,47428,PRJEB19205,60106801,2283935,version 2
GCA_022818035.1,Armillaria solidipes,ID001,1076256,PRJNA766051,55735298,2424439,ASM2281803v1
GCA_002989075.1,Arthonia radiata,EZ20314,39680,PRJNA432823,33501807,1258598,artRad1.0
GCA_006503535.1,Arthrinium phaeospermum,M.B.Ellis,112178,PRJNA491372,48449939,3733262,ASM650353v1
GCA_022414665.1,Arthrinium puccinioides,CBS 549.89,335850,PRJNA764836,39650489,6167320,ASM2241466v1
GCA_017163955.1,Arthrinium sp. KUC21332,KUC21332,2804010,PRJNA692538,48739493,3570796,ASM1716395v1
GCA_012184315.1,Arthrobotrys entomopaga,CBS642.8,321852,PRJNA283584,38379124,185317,ASM1218431v1
GCA_004000055.1,Arthrobotrys flagrans,CBS H-5679,97331,PRJNA494930,36645795,6168687,DF_1.0
GCA_003614865.1,Arthrocladium fulminans,CBS 136243,1758292,PRJNA485507,27195275,1671613,ASM361486v1
GCF_011692745.1,Arthroderma uncinatum,CBS 119779,74035,PRJNA587833,23563256,6243361,ASM1169274v1
GCA_018855395.1,Arthromyces matolae,D32,530044,PRJNA417766,50532040,4374,ASM1885539v1
GCA_003415645.1,Articulospora tetracladia,NNIBRFG329,253309,PRJNA445174,41846809,2261713,ASM341564v1
GCA_022160305.1,Artomyces pyxidatus,HHB10654,48021,PRJNA239090,37987417,87039,Clapy1
GCA_003788565.2,Ascobolus immersus,RN42,5191,PRJNA346638,59529874,171278,Ascim1
GCA_004335285.1,Ascochyta fabae,247/15,372025,PRJNA506513,44313589,32881,ASM433528v1
GCA_004151165.1,Ascochyta koolunga,PIN-15-415,2654375,PRJNA506611,50468892,30590,ASM415116v1
GCA_004011705.1,Ascochyta lentis,Al4,205686,PRJNA510691,41901677,1825080,Alentis_Al4
GCF_004011695.1,Ascochyta rabiei,Me14,5454,PRJNA510692,40843212,1812190,Arabiei_Me14
GCA_004335155.1,Ascochyta viciae,FOR-16-616,1677696,PRJNA506521,49894218,22916,ASM433515v1
GCA_004335205.1,Ascochyta viciae-villosae,ONG-16-641,487627,PRJNA506523,45955488,56180,ASM433520v1
GCA_000328965.1,Ascocoryne sarcoides,NRRL 50072,139061,PRJNA71021,34247354,395555,ASM32896v1
GCA_004786065.1,Ascodesmis nigricans,CBS 389.68,341454,PRJNA247594,27385218,128878,Ascni1
GCA_001600695.1,Ascoidea asiatica,JCM 7603,1301101,PRJDB3556;PRJDB3724,20313720,236462,JCM_7603_assembly_v001
GCF_001661345.1,Ascoidea rubescens,DSM 1968,54195,PRJNA207865,17503998,171347,Ascru1
GCA_024244165.1,Ascosphaera acerosa,ATCC 201316,51565,PRJNA725040,18611625,6524,UCR_Aace_1.0
GCA_024244195.1,Ascosphaera aggregata,USDA-ARS PIBMSR Wild2,51564,PRJNA725042,19806242,7408,UCR_Aagg_1.0
GCA_001636715.1,Ascosphaera apis,ARSEF 7405,5105,PRJNA72725,20313079,12807,AAP 1.0
GCA_024244595.1,Ascosphaera atra,ARSEF 5147,51567,PRJNA725043,29072376,2504,UCR_Aatr_1.0
GCA_024244615.1,Ascosphaera pollenicola,ATCC 62712,51576,PRJNA725050,19986793,6240,UCR_Apol_1.0
GCA_023626435.1,Aspergillaceae sp. M1327,PF1803,2940351,PRJNA833221,27695660,378393,ASM2362643v1
GCA_023626575.1,Aspergillaceae sp. PF1803,PT4103,2940349,PRJNA833221,40239996,145836,ASM2362657v1
GCA_023626355.1,Aspergillaceae sp. S1602,S1701,2940352,PRJNA833221,33728083,510485,ASM2362635v1
GCA_023626415.1,Aspergillaceae sp. S1701,PF2412A,2940350,PRJNA833221,35144504,413082,ASM2362641v1
GCF_003184765.1,Aspergillus aculeatinus,CBS 121060,487661,PRJNA235093,36471649,200731,Aspacu1
GCF_001890905.1,Aspergillus aculeatus,ATCC 16872,5053,PRJNA82765,35424414,256127,Aspac1
GCA_001931935.1,Aspergillus aff. floccosus IMV 01167,IMV 01167,2562445,PRJNA355122,31588614,318858,ASM193193v1
GCA_023601865.1,Aspergillus affinis,CMG 70,1070780,PRJNA723818,37564389,216796,ASM2360186v1
GCF_009176365.1,Aspergillus alliaceus,CBS 536.65,209559,PRJNA334014,40168528,358234,Aspalli1
GCA_023624915.1,Aspergillus amoenus,S2904,1220191,PRJNA833221,33040702,669357,ASM2362491v1
GCA_009193545.1,Aspergillus arachidicola,CBS 117612,656916,PRJNA333896,39764385,291223,Aspara19utr
GCA_009193465.1,Aspergillus avenaceus,IBT 18842,36643,PRJNA333897,33765472,65043,Aspave1
GCA_003850985.1,Aspergillus awamori,IFM 58123,105351,PRJDB4986,38597812,4298649,Aawm_assembly01
GCA_009193595.1,Aspergillus bertholletiae,IBT 29228,1226010,PRJNA333898,37014000,127941,Aspber1
GCF_001792695.1,Aspergillus bombycis,NRRL 26010,109264,PRJNA320549,37474605,240792,ASM179269v1
GCA_001889945.1,Aspergillus brasiliensis,CBS 101740,319629,PRJNA207691,35804080,501428,Aspbr1
GCF_003184695.1,Aspergillus brunneoviolaceus,CBS 621.78,1191711,PRJNA235064,37477200,253676,Aspbru1
GCA_020284055.1,Aspergillus brunneus,CBS 112.26,41418,PRJNA644637,25637640,129205,ASM2028405v1
GCA_013421405.2,Aspergillus burnettii,FRR 5400,2508778,PRJNA516074,41001620,98219,ASM1342140v2
GCF_009193585.1,Aspergillus caelatus,CBS 763.97,61420,PRJNA333899,40016351,108564,Aspcae1
GCA_001511075.1,Aspergillus calidoustus,,454130,PRJEB7718,41102685,981393,Acal_Allpaths_LG
GCF_002847485.1,Aspergillus campestris,IBT 28561,41068,PRJNA217206,28257496,1703432,Aspcam1
GCF_002847045.1,Aspergillus candidus,CBS 102.13,41067,PRJNA334018,27317772,285163,Aspcand1
GCA_001990825.1,Aspergillus carbonarius,ITEM 5010,40993,PRJNA34741,36149134,118896,Aspca3
GCA_004769165.1,Aspergillus cejpii,FS110,1884262,PRJNA526604,23887422,3505643,ASM476916v1
GCF_016861735.1,Aspergillus chevalieri,M1,182096,PRJDB10979,29697343,3787471,AchevalieriM1_assembly01
GCF_000002715.2,Aspergillus clavatus,NRRL 1,5057,PRJNA15664,27859441,749511,ASM271v1
GCA_009193565.1,Aspergillus coremiiformis,CBS 553.77,138285,PRJNA333900,30132285,53539,Aspcor1
GCF_003184835.1,Aspergillus costaricaensis,CBS 115574,319631,PRJNA235080,36947918,426603,Aspcos1
GCA_021436935.1,Aspergillus creber,HOSP050413_5_135,1220201,PRJNA768996,34897705,710608,ASM2143693v1
GCA_001693355.1,Aspergillus cristatus,YKY807,573508,PRJNA326057,27701366,2970423,ASM169335v1
GCA_019828945.1,Aspergillus croceus,JS3-P1,1695224,PRJNA644637,22867324,3562,ASM1982894v1
GCA_016097275.1,Aspergillus elegans,IMI 345568,93033,PRJNA679179,36777498,4601396,ASM1609727v1
GCA_003184645.1,Aspergillus ellipticus,CBS 707.79,41066,PRJNA235088,42866077,80447,Aspell1
GCF_003184535.1,Aspergillus eucalypticola,CBS 122712,1340029,PRJNA235076,34792412,865111,Aspeuc1
GCA_014281915.1,Aspergillus felis,CNM-CM7691,1287682,PRJNA633131,32414721,135096,ASM1428191v1
GCF_003184825.1,Aspergillus fijiensis,CBS 313.89,1191702,PRJNA235087,36513906,290429,Aspfij1
GCF_000149645.3,Aspergillus fischeri,NRRL 181,36630,PRJNA15672,31377515,1240190,ASM14964v4
GCF_014117465.1,Aspergillus flavus,NRRL3357,5059,PRJNA606291,36995582,2397812,ASM1411746v1
GCA_012184565.1,Aspergillus floridensis,IHEM 21069,1072270,PRJNA574013,35394120,72408,ASM1218456v1
GCA_012656285.1,Aspergillus fumigatiaffinis,CNM-CM6805,340414,PRJNA592352,33470809,154394,ASM1265628v1
GCF_000002655.1,Aspergillus fumigatus,Af293,746128,PRJNA131,29384958,2460113,ASM265v1
GCF_001890805.1,Aspergillus glaucus,CBS 516.65,41413,PRJNA169684,27993362,150165,Aspgl1
GCA_001696595.2,Aspergillus hancockii,FRR 3425,1873369,PRJNA328536,39691269,77984,ASM169659v2
GCF_003184545.1,Aspergillus heteromorphus,CBS 117.55,51019,PRJNA235089,35607567,657941,Asphet1
GCA_014281905.1,Aspergillus hiratsukae,CNM-CM5793,1194566,PRJNA633131,30071213,99825,ASM1428190v1
GCF_003184865.1,Aspergillus homomorphus,CBS 101889,319626,PRJNA235062,34054866,295779,Asphom1
GCF_003184845.1,Aspergillus ibericus,CBS 121593,301854,PRJNA235079,33437983,283478,Aspibe1
