ASM_ACCESSION,NCBI_TAXID,SPECIES_IN,STRAIN,PHYLUM,SUBPHYLUM,CLASS,SUBCLASS,ORDER,FAMILY,GENUS,SPECIES
GCA_000222935.2_AciTa_1.0,42363,Aciculosporium take,MAFF-241224,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Clavicipitaceae,Aciculosporium,Aciculosporium take
GCA_019670975.1_ASM1967097v1,1176733,Acidiella bohemica,SYSU C17045,Ascomycota,Pezizomycotina,Dothideomycetes,Dothideomycetidae,Mycosphaerellales,Teratosphaeriaceae,Acidiella,Acidiella bohemica
GCA_003545705.1_ASM354570v1,245562,Acidomyces sp. 'richmondensis',FRIK2901,Ascomycota,Pezizomycotina,Dothideomycetes,Dothideomycetidae,Mycosphaerellales,Teratosphaeriaceae,Acidomyces,Acidomyces sp. 'richmondensis'
GCA_000769265.1_ASM76926v1,5044,Acremonium chrysogenum,ATCC 11550,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,,Acremonium,Acremonium chrysogenum
GCA_022814615.1_ASM2281461v1,1472694,Acremonium citrinum,FKII-L8-BK-P5,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,,Acremonium,Acremonium citrinum
GCA_021347865.1_ASM2134786v1,2666182,Acremonium sp. CBMAI 1973,CBMAI 1973,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,,Acremonium,Acremonium sp. CBMAI 1973
GCA_020087035.1_ASM2008703v1,2778101,Acremonium sp. FKII-L8-BK-P5,FKII-L8-BK-P5
GCA_016098155.1_UCR_MambBC1055_1.0,1343610,Actinomortierella ambigua,BC1065,Mucoromycota,Mortierellomycotina,Mortierellomycetes,,Mortierellales,Mortierellaceae,Actinomortierella,Actinomortierella ambigua
GCA_016098105.1_UCR_MwolfiiNRRL6351_1.0,90253,Actinomortierella wolfii,NRRL 6351,Mucoromycota,Mortierellomycotina,Mortierellomycetes,,Mortierellales,Mortierellaceae,Actinomortierella,Actinomortierella wolfii
GCA_001599635.1_JCM_22485_assembly_v001,64647,Actinomucor elegans,JCM 22485,Mucoromycota,Mucoromycotina,Mucoromycetes,,Mucorales,Mucoraceae,Actinomucor,Actinomucor elegans
GCA_004216415.1_S18-22,2518135,Aeminium ludgeri,E14,Ascomycota,Pezizomycotina,Dothideomycetes,Dothideomycetidae,Capnodiales,,Aeminium,Aeminium ludgeri
GCA_002718315.1_ASM271831v1,2607230,Agaricales sp. HM26-F1,HM26-F1,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,,,Agaricales sp. HM26-F1
GCF_000300575.1_Agabi_varbisH97_2,192523,Agaricus bisporus var. bisporus,H97,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Agaricaceae,Agaricus,Agaricus bisporus
GCA_022315185.1_ASM2231518v1,1550288,Agaricus sinodeliciosus,ZRL20160001-S65,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Agaricaceae,Agaricus,Agaricus sinodeliciosus
GCA_013376435.1_ASM1337643v1,64608,Agrocybe cylindracea,AC9,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Bolbitiaceae,Agrocybe,Agrocybe cylindracea
GCA_013053245.1_LU_AGP_1.0,84607,Agrocybe pediades,CBS 102.39,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Bolbitiaceae,Agrocybe,Agrocybe pediades
GCA_022814335.1_ASM2281433v1,443868,Agyrium rufum,Spribille 39798,Ascomycota,Pezizomycotina,Lecanoromycetes,Ostropomycetidae,Pertusariales,Pertusariaceae,Agyrium,Agyrium rufum
GCA_001636795.1_LEL_1.0,2714763,Akanthomyces lecanii,RCEF 1005,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces lecanii
GCA_003314395.1_ASM331439v1,80570,Albatrellus ellisii,MG60,Basidiomycota,Agaricomycotina,Agaricomycetes,,Russulales,Albatrellaceae,Albatrellus,Albatrellus ellisii
GCA_003314695.1_ASM331469v1,2175974,Albatrellus sp. MG142,MG142,Basidiomycota,Agaricomycotina,Agaricomycetes,,Russulales,Albatrellaceae,Albatrellus,Albatrellus sp. MG142
GCA_020081605.1_ASM2008160v1,1859699,Albifimbria verrucaria,IMI 368023,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Stachybotryaceae,Albifimbria,Albifimbria verrucaria
GCA_001600555.1_JCM_11844_assembly_v001,1635095,Albophoma yamanashiensis,JCM 11844,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Ophiocordycipitaceae,Albophoma,Albophoma yamanashiensis
GCA_905337325.1_GTX0161_lecanoromycete,1903189,Alectoria fallacina,,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Lecanorales,Parmeliaceae,Alectoria,Alectoria fallacina
GCA_009733775.1_ASM973377v1,111643,Alectoria sarmentosa,MAF-Lich 21536,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Lecanorales,Parmeliaceae,Alectoria,Alectoria sarmentosa
GCA_001600815.1_JCM_7604_assembly_v001,54196,Alloascoidea hylecoeti,JCM 7604,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,Alloascoideaceae,Alloascoidea,Alloascoidea hylecoeti
GCA_000151295.1_A_macrogynus_V3,28583,Allomyces macrogynus,ATCC 38327,Blastocladiomycota,,Blastocladiomycetes,,Blastocladiales,Blastocladiaceae,Allomyces,Allomyces macrogynus
GCA_020284155.1_ASM2028415v1,1111114,Alternaria alstroemeriae,CBS 118809,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporaceae,Alternaria,Alternaria alstroemeriae
GCF_001642055.1_Altal1,5599,Alternaria alternata,SRC1lrK2f,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporaceae,Alternaria,Alternaria alternata
GCA_022814545.1_ASM2281454v1,1187901,Alternaria angustiovoidea,FKII-L2-CM-DRAB1,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporaceae,Alternaria,Alternaria angustiovoidea
GCF_004154835.1_ASM415483v1,156630,Alternaria arborescens,FERA 675,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporaceae,Alternaria,Alternaria arborescens
GCA_024043155.1_ASM2404315v1,232088,Alternaria arbusti,BMP 1465,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporaceae,Alternaria,Alternaria arbusti
GCF_907166805.1_ALTATR162,119953,Alternaria atra,CS162,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporaceae,Alternaria,Alternaria atra
GCA_004936725.1_ASM493672v1,29911,Alternaria brassicae,J3,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporaceae,Alternaria,Alternaria brassicae
GCA_002796735.1_ASM279673v1,29001,Alternaria brassicicola,Abra43,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporaceae,Alternaria,Alternaria brassicicola
GCF_013036055.1_ASM1303605v1,1187904,Alternaria burnsii,CBS107.38,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporaceae,Alternaria,Alternaria burnsii
GCA_024043145.1_ASM2404314v1,181017,Alternaria conjuncta,BMP 0040,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporaceae,Alternaria,Alternaria conjuncta
GCA_001950455.1_JCM_1940_assembly_v001,230004,Alternaria consortialis,JCM 1940,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporaceae,Alternaria,Alternaria consortialis
GCF_023757985.1_ASM2375798v1,181014,Alternaria ethzedia,BMP 0044,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporaceae,Alternaria,Alternaria ethzedia
GCA_004156025.2_ASM415602v2,167740,Alternaria gaisen,FERA 650,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporaceae,Alternaria,Alternaria gaisen
GCA_009289805.1_ASM928980v1,644589,Alternaria gansuensis,LYZ1412,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporaceae,Alternaria,Alternaria gansuensis
GCF_023758085.1_ASM2375808v1,1187925,Alternaria hordeiaustralica,BMP 2776,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporaceae,Alternaria,Alternaria hordeiaustralica
GCA_024043165.1_ASM2404316v1,1187928,Alternaria incomplexa,BMP 0042,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporaceae,Alternaria,Alternaria incomplexa
GCA_024043175.1_ASM2404317v1,45303,Alternaria infectoria,BMP 0036,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporaceae,Alternaria,Alternaria infectoria
GCA_019059555.1_ASM1905955v1,160389,Alternaria longipes,CBS 540.94,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporaceae,Alternaria,Alternaria longipes
GCF_023757995.1_ASM2375799v1,283354,Alternaria metachromatica,BMP 0045,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporaceae,Alternaria,Alternaria metachromatica
GCF_023758075.1_ASM2375807v1,430562,Alternaria novae-zelandiae,BMP 2774,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporaceae,Alternaria,Alternaria novae-zelandiae
GCA_019702505.1_ASM1970250v1,48097,Alternaria panax,BNCC115425,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporaceae,Alternaria,Alternaria panax
GCA_024291825.1_ASM2429182v1,1187938,Alternaria postmessia,BMP 2775,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporaceae,Alternaria,Alternaria postmessia
GCF_020736505.1_Altro1,1187941,Alternaria rosae,MPI-PUGE-AT-0040,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporaceae,Alternaria,Alternaria rosae
GCA_002952155.1_ASM295215v1,48100,Alternaria solani,NL03003,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporaceae,Alternaria,Alternaria solani
GCA_024321975.1_ASM2432197v1,2896643,Alternaria sp. 'sect. Undifilum',W740-01
GCA_023758125.1_ASM2375812v1,2817039,Alternaria sp. Ai002NY15,Ai002NY15,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporaceae,Alternaria,Alternaria sp. Ai002NY15
GCA_023758005.1_ASM2375800v1,2817042,Alternaria sp. BMP 0032,BMP 0032,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporaceae,Alternaria,Alternaria sp. BMP 0032
GCA_023758145.1_ASM2375814v1,2817041,Alternaria sp. BMP 2799,BMP 2799,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporaceae,Alternaria,Alternaria sp. BMP 2799
GCA_023621305.1_ASM2362130v1,2940395,Alternaria sp. M3903,M3903
GCA_023621335.1_ASM2362133v1,2940393,Alternaria sp. M3908,M3908
GCA_003574525.1_ASM357452v1,1678846,Alternaria sp. MG1,MG1,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporaceae,Alternaria,Alternaria sp. MG1
GCA_023621325.1_ASM2362132v1,2940394,Alternaria sp. S3601,S3601
GCA_004156035.1_ASM415603v1,119927,Alternaria tenuissima,FERA 1166,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporaceae,Alternaria,Alternaria tenuissima
GCF_023758025.1_ASM2375802v1,297637,Alternaria triticimaculans,BMP 0046,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporaceae,Alternaria,Alternaria triticimaculans
GCA_022609215.1_ASM2260921v1,216836,Alternaria triticina,CBS 763.84,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporaceae,Alternaria,Alternaria triticina
GCF_023758065.1_ASM2375806v1,1187951,Alternaria ventricosa,BMP 2768,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporaceae,Alternaria,Alternaria ventricosa
GCF_023758015.1_ASM2375801v1,566460,Alternaria viburni,BMP 2772,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporaceae,Alternaria,Alternaria viburni
GCA_001983365.1_ASM198336v1,87325,Amanita bisporigera,Ingham01,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Amanitaceae,Amanita,Amanita bisporigera
GCA_001691785.2_ASM169178v2,87326,Amanita brunnescens,Koide BX004,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Amanitaceae,Amanita,Amanita brunnescens
GCA_023014455.1_ASM2301445v1,262245,Amanita exitialis,LH00005,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Amanitaceae,Amanita,Amanita exitialis
GCA_023014435.1_ASM2301443v1,67708,Amanita fuliginea,LH00002,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Amanitaceae,Amanita,Amanita fuliginea
GCA_001691775.3_ASM169177v3,933333,Amanita inopinata,Kibby_2008,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Amanitaceae,Amanita,Amanita inopinata
GCA_023014405.1_ASM2301440v1,1506954,Amanita molliuscula,LH00009,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Amanitaceae,Amanita,Amanita molliuscula
GCA_000827485.1_Amanita_muscaria_Koide_BX008_v1.0,41956,Amanita muscaria,Koide BX008,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Amanitaceae,Amanita,Amanita muscaria
GCA_023014475.1_ASM2301447v1,1324310,Amanita pallidorosea,LH00007,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Amanitaceae,Amanita,Amanita pallidorosea
GCA_001983385.1_ASM198338v1,67723,Amanita phalloides,Alameda01,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Amanitaceae,Amanita,Amanita phalloides
GCA_001691755.2_ASM169175v2,1004511,Amanita polypyramis,BW_CC,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Amanitaceae,Amanita,Amanita polypyramis
GCA_003316615.1_ASM331661v1,67725,Amanita pseudoporphyria,MG37,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Amanitaceae,Amanita,Amanita pseudoporphyria
GCA_023014395.1_ASM2301439v1,580330,Amanita rimosa,LH00003,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Amanitaceae,Amanita,Amanita rimosa
GCA_015039365.1_Amarub1,71933,Amanita rubescens,Prilba,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Amanitaceae,Amanita,Amanita rubescens
GCA_020011035.1_ASM2001103v1,67733,Amanita subjunquillea,LH00001,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Amanitaceae,Amanita,Amanita subjunquillea
GCA_002554575.1_Amanita_thiersii_v1.0,235537,Amanita thiersii Skay4041,SKay4041,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Amanitaceae,Amanita,Amanita thiersii
GCA_000497225.1_AmaJack1.0,87329,AmanitajacksoniiTRTC168611,,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Amanitaceae,Amanita,Amanita jacksonii
GCA_001430935.1_ASM143093v1,113399,Amauroascus mutatus,UAMH 3576,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Onygenales,Onygenaceae,Amauroascus,Amauroascus mutatus
GCA_001430945.1_ASM143094v1,89421,Amauroascus niger,UAMH 3544,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Onygenales,Onygenaceae,Amauroascus,Amauroascus niger
GCA_017499575.1_ASM1749957v1,483017,Amauroderma rugosum,ACCC 51706,Basidiomycota,Agaricomycotina,Agaricomycetes,,Polyporales,Polyporaceae,Amauroderma,Amauroderma rugosum
GCA_910591945.1_Ambispora_gerdemannii_MT106,144530,Ambispora gerdemannii,MT106,Mucoromycota,Glomeromycotina,Glomeromycetes,,Archaeosporales,Ambisporaceae,Ambispora,Ambispora gerdemannii
GCA_910591765.1_Ambispora_leptoticha_FL130A,144679,Ambispora leptoticha,FL130A,Mucoromycota,Glomeromycotina,Glomeromycetes,,Archaeosporales,Ambisporaceae,Ambispora,Ambispora leptoticha
GCA_017139545.1_ASM1713954v1,1906498,Ambrosiella cleistominuta,CBS 141682,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Microascales,Ceratocystidaceae,Ambrosiella,Ambrosiella cleistominuta
GCA_002778035.1_ASM277803v1,44383,Ambrosiella xylebori,CBS 110.61,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Microascales,Ceratocystidaceae,Ambrosiella,Ambrosiella xylebori
GCA_003705185.1_ASM370518v1,53487,Ambrosiozyma ambrosiae,NRRL Y-7524,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,,Ambrosiozyma,Ambrosiozyma ambrosiae
GCA_001599075.1_JCM_15019_assembly_v001,489715,Ambrosiozyma kashinagicola,JCM 15019,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,,Ambrosiozyma,Ambrosiozyma kashinagicola
GCA_003706635.1_ASM370663v1,904902,Ambrosiozyma maleeae (nom. inval.),NRRL Y-63635,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,,Ambrosiozyma,Ambrosiozyma maleeae (nom. inval.)
GCA_001599995.1_JCM_7599_assembly_v001,43982,Ambrosiozyma monospora,JCM 7599,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,,Ambrosiozyma,Ambrosiozyma monospora
GCA_003706315.2_ASM370631v2,1382206,Ambrosiozyma oregonensis (nom. inval.),NRRL Y-6106,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,,Ambrosiozyma,Ambrosiozyma oregonensis (nom. inval.)
GCA_003707675.2_ASM370767v2,43984,Ambrosiozyma philentoma,NRRL Y-7523,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,,Ambrosiozyma,Ambrosiozyma philentoma
GCA_003707895.2_ASM370789v2,489716,Ambrosiozyma pseudovanderkliftii,NRRL Y-63632,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,,Ambrosiozyma,Ambrosiozyma pseudovanderkliftii
GCA_003705225.1_ASM370522v1,489717,Ambrosiozyma vanderkliftii,NRRL Y-63633,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,,Ambrosiozyma,Ambrosiozyma vanderkliftii
GCA_004802645.1_ASM480264v1,1934353,Amesia nigricolor,F5,Ascomycota,Pezizomycotina,Sordariomycetes,Sordariomycetidae,Sordariales,Chaetomiaceae,Amesia,Amesia nigricolor
GCA_010015725.1_Amnli1,455074,Amniculicola lignicola,CBS 123094,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Amniculicolaceae,Amniculicola,Amniculicola lignicola
GCA_018985225.1_ASM1898522v1,2109901,Amoeboradix gromovi,X-113,,,,,,Sanchytriaceae,Amoeboradix,Amoeboradix gromovi
GCF_003019875.1_Amore1,5101,Amorphotheca resinae,ATCC 22711,Ascomycota,Pezizomycotina,Leotiomycetes,,,Myxotrichaceae,Amorphotheca,Amorphotheca resinae
GCA_018398575.1_ASM1839857v1,50730,Ampelomyces quisqualis,BRIP 72107,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Leptosphaeriaceae,Ampelomyces,Ampelomyces quisqualis
GCA_001875675.1_ASM187567v1,1866961,Amphiamblys sp. WSBS2006,WSBS2006,Microsporidia,,,,,Amphiacanthidae,Amphiamblys,Amphiamblys sp. WSBS2006
GCA_004123355.1_ASM412335v1,743113,Amphirosellinia nigrospora,JS-1675,Ascomycota,Pezizomycotina,Sordariomycetes,Xylariomycetidae,Xylariales,Xylariaceae,Amphirosellinia,Amphirosellinia nigrospora
GCA_019669835.1_Amyenc1,45428,Amylocarpus encephaloides,TRa018bII,Ascomycota,Pezizomycotina,Leotiomycetes,,Helotiales,,Amylocarpus,Amylocarpus encephaloides
GCA_022376435.1_Amylap1_1,202700,Amylocystis lapponica,SKaAmylap13,Basidiomycota,Agaricomycotina,Agaricomycetes,,Polyporales,Dacryobolaceae,Amylocystis,Amylocystis lapponica
GCA_012932865.1_ASM1293286v1,103385,Amylostereum areolatum,HG-01,Basidiomycota,Agaricomycotina,Agaricomycetes,,Russulales,Stereaceae,Amylostereum,Amylostereum areolatum
GCA_022385825.1_Amycha1,55340,Amylostereum chailletii,DWAch2,Basidiomycota,Agaricomycotina,Agaricomycetes,,Russulales,Stereaceae,Amylostereum,Amylostereum chailletii
GCA_002104895.1_Anaeromyces_sp._S4_v1.0,1754192,Anaeromyces robustus,S4,Chytridiomycota,,Neocallimastigomycetes,,Neocallimastigales,Neocallimastigaceae,Anaeromyces,Anaeromyces robustus
GCA_000385875.2_Annc_alge_insect_USDA_JJB_V2,723287,Anncaliia algerae,PRA339,Microsporidia,,,,,Tubulinosematidae,Anncaliia,Anncaliia algerae
GCA_022836615.1_Annbov1,326617,Annulohypoxylon bovei var. microspora,CBS 124037,Ascomycota,Pezizomycotina,Sordariomycetes,Xylariomycetidae,Xylariales,Hypoxylaceae,Annulohypoxylon,Annulohypoxylon bovei
GCF_022496945.1_Annmae1,1927788,Annulohypoxylon maeteangense,CBS 123835,Ascomycota,Pezizomycotina,Sordariomycetes,Xylariomycetidae,Xylariales,Hypoxylaceae,Annulohypoxylon,Annulohypoxylon maeteangense
GCA_022695765.1_Annmor1,326622,Annulohypoxylon moriforme,CBS 123579,Ascomycota,Pezizomycotina,Sordariomycetes,Xylariomycetidae,Xylariales,Hypoxylaceae,Annulohypoxylon,Annulohypoxylon moriforme
GCA_022496965.1_Annnit1,326626,Annulohypoxylon nitens,CBS 120705,Ascomycota,Pezizomycotina,Sordariomycetes,Xylariomycetidae,Xylariales,Hypoxylaceae,Annulohypoxylon,Annulohypoxylon nitens
GCA_003314315.1_ASM331431v1,326628,Annulohypoxylon stygium,MG137,Ascomycota,Pezizomycotina,Sordariomycetes,Xylariomycetidae,Xylariales,Hypoxylaceae,Annulohypoxylon,Annulohypoxylon stygium
GCF_022578515.1_Anntru1,327061,Annulohypoxylon truncatum,CBS 140777,Ascomycota,Pezizomycotina,Sordariomycetes,Xylariomycetidae,Xylariales,Hypoxylaceae,Annulohypoxylon,Annulohypoxylon truncatum
GCA_010623925.1_ASM1062392v1,1955577,Antarctomyces pellizariae,UFMG-CB-12416,Ascomycota,Pezizomycotina,Leotiomycetes,,Thelebolales,Thelebolaceae,Antarctomyces,Antarctomyces pellizariae
GCA_014826065.1_ASM1482606v1,249478,Anthracocystis panici-leucophaei,SPL10,Basidiomycota,Ustilaginomycotina,Ustilaginomycetes,,Ustilaginales,Ustilaginaceae,Anthracocystis,Anthracocystis panici-leucophaei
GCA_928724745.1_BRIP_26904_a,882916,Anthracocystis setariae,BRIP 26904 a,Basidiomycota,Ustilaginomycotina,Ustilaginomycetes,,Ustilaginales,Ustilaginaceae,Anthracocystis,Anthracocystis setariae
GCA_928858565.1_RK031,1134040,Anthracocystis walkeri,RK 031,Basidiomycota,Ustilaginomycotina,Ustilaginomycetes,,Ustilaginales,Ustilaginaceae,Anthracocystis,Anthracocystis walkeri
GCA_007674295.1_ASM767429v1,278021,Antonospora locustae,CLX,Microsporidia,,,,,,Antonospora,Antonospora locustae
GCA_022598655.1_ASM2259865v1,279009,Antrodia cinnamomea,V5
GCF_022376445.1_Antser1,139415,Antrodia serialis,Sig1Antser10,Basidiomycota,Agaricomycotina,Agaricomycetes,,Polyporales,Fomitopsidaceae,Antrodia,Antrodia serialis
