ACCESSION,SPECIES,STRAIN,NCBI_TAXID,BIOPROJECT,ASM_LENGTH,N50,ASM_NAME
GCA_030579395.1,Aciculoconidium aculeatum,NRRL YB-4298,43968,2;3;4;6;7;A;J;N;P;PRJNA736342;R,17953185,260810,ASM3057939v1
GCA_000222935.2,Aciculosporium take MAFF-241224,MAFF-241224,1036760,1;2;4;6;7;A;J;N;P;PRJNA67241;R,58836405,40517,AciTa_1.0
GCA_019670975.1,Acidiella bohemica,SYSU C17045,1176733,0;2;5;6;7;A;J;N;P;PRJNA725650;R,26833561,1164001,ASM1967097v1
GCA_003545705.1,Acidomyces sp. 'richmondensis',FRIK2901,245562,3;4;5;6;7;8;A;J;N;P;PRJNA486357;R,29249537,1214476,ASM354570v1
GCA_021347865.1,Acremonium sp. CBMAI 1973,CBMAI 1973,2666182,5;7;8;9;A;J;N;P;PRJNA588795;R,35841001,87141,ASM2134786v1
GCA_020087035.1,Acremonium sp. FKII-L8-BK-P5,FKII-L8-BK-P5,2778101,3;4;6;7;A;J;N;P;PRJNA644637;R,34452312,519699,ASM2008703v1
GCA_028476805.1,Acrocalymma vagum,A21,1589764,0;1;2;3;8;9;A;J;N;P;PRJNA921830;R,55745741,108046,ASM2847680v1
GCA_033807595.1,Acrodontium crateriforme,169a,150365,0;1;3;4;7;8;A;J;N;P;PRJNA1034788;R,23050344,1746009,ASM3380759v1
GCA_016098155.1,Actinomortierella ambigua,BC1065,1343610,3;4;6;A;J;N;P;PRJNA463334;R,37923144,33511,UCR_MambBC1055_1.0
GCA_016098105.1,Actinomortierella wolfii,NRRL 6351,90253,0;3;4;7;9;A;J;N;P;PRJNA340479;R,34232935,56063,UCR_MwolfiiNRRL6351_1.0
GCA_026027325.1,Actinomucor elegans,CJ-6,64647,3;4;8;9;A;J;N;P;PRJNA848933;R,36533736,3043051,ASM2602732v1
GCA_004216415.1,Aeminium ludgeri,E14,2518135,0;1;2;5;7;8;A;J;N;P;PRJNA520871;R,22585551,144419,S18-22
GCA_002718315.1,Agaricales sp. HM26-F1,HM26-F1,2607230,1;3;8;A;J;N;P;PRJNA388831;R,32238363,1023127,ASM271831v1
GCF_000300575.1,Agaricus bisporus var. bisporus H97,H97,936046,0;1;5;6;A;J;N;P;PRJNA61005;R,30233745,262535,Agabi_varbisH97_2
GCA_030246685.1,Agaricus bitorquis,BH01,5343,0;2;3;4;6;9;A;J;N;P;PRJNA946023;R,32345193,2052213,ASM3024668v1
GCA_029719445.1,Agaricus blazei,JA-15036,79798,1;2;3;4;5;7;A;J;N;P;PRJNA532471;R,38686133,1826870,ASM2971944v1
GCA_022315185.1,Agaricus sinodeliciosus,ZRL20160001-S65,1550288,0;2;4;5;7;A;J;N;P;PRJNA744025;R,32482119,1261485,ASM2231518v1
GCA_029945375.1,Agaricus subrufescens,ABL 49,87252,2;3;6;7;9;A;J;N;P;PRJNA926637;R,44531294,1854625,Asub-V01
GCA_029232285.1,Agmasoma sp. JBojko-2022a,v1,2984836,5;8;9;A;J;N;P;PRJNA888958;R,4264503,85488,Ca_Agmasoma_carcini_1
GCA_018343915.1,Agroathelia rolfsii,GP3,39291,2;3;5;6;A;J;N;P;PRJNA635225;R,37673359,4408868,ASM1834391v1
GCA_027627235.1,Agrocybe chaxingu,MP-N11,84603,5;8;A;J;N;P;PRJNA855555;R,40343159,18052,Agrocybe_chaxingu_MP-N11_reassembly
GCA_013376435.1,Agrocybe cylindracea,AC9,64608,1;3;5;8;A;J;N;P;PRJNA353318;R,56488834,85967,ASM1337643v1
GCA_013053245.1,Agrocybe pediades,CBS 102.39,84607,3;4;5;6;9;A;J;N;P;PRJNA496353;R,45149591,2723584,LU_AGP_1.0
GCA_022814335.1,Agyrium rufum,Spribille 39798,443868,5;7;8;9;A;J;N;P;PRJNA795879;R,28047069,235725,ASM2281433v1
GCA_030783385.1,Akanthomyces dipterigenus,MBC 701,132109,0;3;7;8;9;A;J;N;P;PRJNA879330;R,33553279,63054,ASM3078338v1
GCA_001636795.1,Akanthomyces lecanii RCEF 1005,RCEF 1005,1081108,2;3;7;A;J;N;P;PRJNA72733;R,35594087,782161,LEL 1.0
GCF_028009165.1,Akanthomyces muscarius,Ve6,2231603,3;4;5;7;A;J;N;P;PRJNA777543;R,36207525,4856708,ASM2800916v1
GCA_003314395.1,Albatrellus ellisii,MG60,80570,2;4;5;7;A;J;N;P;PRJNA454572;R,122761634,13802,ASM331439v1
GCA_003314695.1,Albatrellus sp. MG142,MG142,2175974,2;4;5;7;A;J;N;P;PRJNA454572;R,59385241,3750,ASM331469v1
GCA_020081605.1,Albifimbria verrucaria,IMI 368023,1859699,3;4;6;7;A;J;N;P;PRJNA736674;R,48482211,5352524,ASM2008160v1
GCA_001600555.1,Albophoma yamanashiensis,JCM 11844,1635095,2;3;8;B;D;J;P;PRJDB3556;PRJDB3823;R,31390562,567446,JCM_11844_assembly_v001
GCA_905337325.1,Alectoria fallacina,,1903189,2;3;4;5;B;E;J;P;PRJEB42325;R,65236659,70288,GTX0161_lecanoromycete
GCA_009733775.1,Alectoria sarmentosa,MAF-Lich 21536,111643,0;5;6;8;A;J;N;P;PRJNA588068;R,39958285,85531,ASM973377v1
GCA_024752435.1,Allantophomopsis cytisporea,ATCC 66955,1484957,1;3;5;6;8;A;J;N;P;PRJNA866153;R,34816014,1994825,ASM2475243v1
GCA_024752465.1,Allantophomopsis lycopodina,ATCC 66958,334518,1;3;5;6;8;A;J;N;P;PRJNA866153;R,33865253,1918003,ASM2475246v1
GCA_030581615.1,Alloascoidea africana,NRRL Y-6762-3,27309,2;3;4;6;7;A;J;N;P;PRJNA736342;R,23700382,284928,ASM3058161v1
GCA_001600815.1,Alloascoidea hylecoeti,JCM 7604,54196,3;4;7;B;D;J;P;PRJDB3556;PRJDB3734;R,24815695,224558,JCM_7604_assembly_v001
GCA_030565225.1,Allodekkera sacchari,CBS 14167,1936035,2;3;4;6;7;A;J;N;P;PRJNA736342;R,13278534,131226,ASM3056522v1
GCA_027604705.1,Allomyces arbusculus,Burma 1F,64504,1;5;7;8;A;J;N;P;PRJNA581157;R,26482826,162290,ASM2760470v1
GCA_027604645.1,Allomyces javanicus,California 12,64505,1;5;8;A;J;N;P;PRJNA581158;R,29927322,104684,ASM2760464v1
GCA_000151295.1,Allomyces macrogynus ATCC 38327,ATCC 38327,578462,0;2;3;5;6;A;J;N;P;PRJNA167910;PRJNA176382;PRJNA20563;PRJNA71873;R,57060573,35497,A_macrogynus_V3
GCF_001642055.1,Alternaria alternata,SRC1lrK2f,5599,2;3;4;8;9;A;J;N;P;PRJNA239482;R,32990834,1097884,Altal1
GCA_022814545.1,Alternaria angustiovoidea,FKII-L2-CM-DRAB1,1187901,0;1;5;8;A;J;N;P;PRJNA800051;R,34215686,1307716,ASM2281454v1
GCF_004154835.1,Alternaria arborescens,FERA 675,156630,0;1;2;3;6;A;J;N;P;PRJNA360212;R,33943449,862606,ASM415483v1
GCF_024043155.1,Alternaria arbusti,BMP 1465,232088,0;6;7;A;J;N;P;PRJNA706766;R,33977964,1618164,ASM2404315v1
GCF_907166805.1,Alternaria atra,CS162,119953,2;3;4;9;B;E;J;P;PRJEB42493;R,39606256,2320100,ALTATR162
GCA_004936725.1,Alternaria brassicae,J3,29911,0;2;3;5;6;A;J;N;P;PRJNA526360;R,33950197,2940012,ASM493672v1
GCA_002796735.1,Alternaria brassicicola,Abra43,29001,0;1;4;7;8;A;J;N;P;PRJNA418710;R,31036461,2101997,ASM279673v1
GCF_013036055.1,Alternaria burnsii,CBS107.38,1187904,0;1;3;5;6;A;J;N;P;PRJNA600135;R,32958128,1486828,ASM1303605v1
GCA_020284155.1,Alternaria cf. alternata,R-IC-06-P1,2738401,3;4;6;7;A;J;N;P;PRJNA644637;R,33706137,1348941,ASM2028415v1
GCF_024043145.1,Alternaria conjuncta,BMP 0040,181017,0;6;7;A;J;N;P;PRJNA706766;R,36109959,1896824,ASM2404314v1
GCA_001950455.1,Alternaria consortialis,JCM 1940,230004,1;3;4;6;B;D;J;P;PRJDB3556;PRJDB3614;R,34240857,1021350,JCM_1940_assembly_v001
GCA_025504955.1,Alternaria dauci,CALB1,48095,2;3;5;6;7;8;A;J;N;P;PRJNA867523;R,35741899,2961539,ASM2550495v1
GCF_023757985.1,Alternaria ethzedia,BMP 0044,181014,0;6;7;A;J;N;P;PRJNA706766;R,36016348,863783,ASM2375798v1
GCA_004156025.2,Alternaria gaisen,FERA 650,167740,0;1;2;3;6;A;J;N;P;PRJNA360212;R,34346950,2110033,ASM415602v2
GCA_009289805.1,Alternaria gansuensis,LYZ1412,644589,0;2;4;5;7;A;J;N;P;PRJNA574205;R,75051934,163781,ASM928980v1
GCF_023758085.1,Alternaria hordeiaustralica,BMP 2776,1187925,0;6;7;A;J;N;P;PRJNA706766;R,36958049,952179,ASM2375808v1
GCF_024043165.1,Alternaria incomplexa,BMP 0042,1187928,0;6;7;A;J;N;P;PRJNA706766;R,33457300,1703020,ASM2404316v1
GCF_024043175.1,Alternaria infectoria,BMP 0036,45303,0;6;7;A;J;N;P;PRJNA706766;R,36515125,1179274,ASM2404317v1
GCA_019059555.1,Alternaria longipes,CBS 540.94,160389,2;3;5;6;7;8;A;J;N;P;PRJNA736258;R,39426105,3599223,ASM1905955v1
GCF_023757995.1,Alternaria metachromatica,BMP 0045,283354,0;6;7;A;J;N;P;PRJNA706766;R,37283841,1012319,ASM2375799v1
GCF_023758075.1,Alternaria novae-zelandiae,BMP 2774,430562,0;6;7;A;J;N;P;PRJNA706766;R,37570309,1242974,ASM2375807v1
GCA_019702505.1,Alternaria panax,BNCC115425,48097,0;5;6;7;8;A;J;N;P;PRJNA608755;R,34756390,2779702,ASM1970250v1
GCA_029783965.1,Alternaria porri,Apn-Nashik,48098,1;3;6;7;9;A;J;N;P;PRJNA916367;R,32989564,2657264,RDWU_Aporii_p.ctg
GCF_024291825.1,Alternaria postmessia,BMP 2775,1187938,0;6;7;A;J;N;P;PRJNA706766;R,34409470,300389,ASM2429182v1
GCF_020736505.1,Alternaria rosae,MPI-PUGE-AT-0040,1187941,1;3;4;7;8;A;J;N;P;PRJNA347188;R,33831682,3278090,Altro1
GCA_002952155.1,Alternaria solani,NL03003,48100,0;1;3;9;A;J;N;P;PRJNA391093;R,32779142,2866555,ASM295215v1
GCA_024321975.1,Alternaria sp. 'sect. Undifilum',W740-01,2896643,5;6;7;9;A;J;N;P;PRJNA776965;R,74479813,8867609,ASM2432197v1
GCA_023758125.1,Alternaria sp. Ai002NY15,Ai002NY15,2817039,0;6;7;A;J;N;P;PRJNA706766;R,36921486,1255567,ASM2375812v1
GCA_023758005.1,Alternaria sp. BMP 0032,BMP 0032,2817042,0;6;7;A;J;N;P;PRJNA706766;R,37291766,976338,ASM2375800v1
GCA_023758145.1,Alternaria sp. BMP 2799,BMP 2799,2817041,0;6;7;A;J;N;P;PRJNA706766;R,36402624,1000369,ASM2375814v1
GCA_023621305.1,Alternaria sp. M3903,M3903,2940395,1;2;3;8;A;J;N;P;PRJNA833221;R,33774396,949469,ASM2362130v1
GCA_023621335.1,Alternaria sp. M3908,M3908,2940393,1;2;3;8;A;J;N;P;PRJNA833221;R,33771355,765829,ASM2362133v1
GCA_003574525.1,Alternaria sp. MG1,MG1,1678846,1;2;4;7;8;A;J;N;P;PRJNA417218;R,34695644,44208,ASM357452v1
GCA_023621325.1,Alternaria sp. S3601,S3601,2940394,1;2;3;8;A;J;N;P;PRJNA833221;R,34244541,1295236,ASM2362132v1
GCA_024606205.1,Alternaria sp. SPS-2,SPS-2,2963890,2;3;5;7;8;A;J;N;P;PRJNA832572;R,33400178,2610814,ASM2460620v1
GCA_004156035.1,Alternaria tenuissima,FERA 1166,119927,0;1;2;3;6;A;J;N;P;PRJNA360212;R,35704180,2583941,ASM415603v1
GCF_023758025.1,Alternaria triticimaculans,BMP 0046,297637,0;6;7;A;J;N;P;PRJNA706766;R,36788567,1666515,ASM2375802v1
GCA_022609215.1,Alternaria triticina,CBS 763.84,216836,0;1;2;3;4;7;A;J;N;P;PRJNA704231;R,33250431,498181,ASM2260921v1
GCF_023758065.1,Alternaria ventricosa,BMP 2768,1187951,0;6;7;A;J;N;P;PRJNA706766;R,34687354,1329355,ASM2375806v1
GCF_023758015.1,Alternaria viburni,BMP 2772,566460,0;6;7;A;J;N;P;PRJNA706766;R,36351886,1053821,ASM2375801v1
GCA_030386735.1,Alternosema sp. JBojko-2023a,1,3037678,0;2;4;5;9;A;J;N;P;PRJNA950224;R,1517482,2796,Fv_Alternosema1
GCA_026054675.1,Alyxoria varia,Spribille s.n. 20.09.2020/TS-e1968,91480,3;4;8;A;J;N;P;PRJNA833438;R,25325852,348177,ASM2605467v1
GCA_001983365.1,Amanita bisporigera,Ingham01,87325,3;4;8;9;A;J;N;P;PRJNA339438;R,75346262,2075,ASM198336v1
GCA_001691785.3,Amanita brunnescens Koide BX004,Koide BX004,1457509,2;3;5;6;7;A;J;N;P;PRJNA236753;R,36016155,12726,ASM169178v3
GCA_023014455.1,Amanita exitialis,LH00005,262245,6;7;9;A;J;N;P;PRJNA679796;R,49118549,3025964,ASM2301445v1
GCA_023014435.1,Amanita fuliginea,LH00002,67708,6;7;9;A;J;N;P;PRJNA679796;R,60225502,3029391,ASM2301443v1
GCA_001691775.3,Amanita inopinata Kibby_2008,Kibby_2008,1457513,2;3;5;6;7;A;J;N;P;PRJNA236757;R,20082689,140420,ASM169177v3
GCA_000497225.1,Amanita jacksonii TRTC168611,,1417757,1;2;3;6;A;J;N;P;PRJNA226613;R,30856360,17077,AmaJack1.0
GCA_023014405.1,Amanita molliuscula,LH00009,1506954,6;7;9;A;J;N;P;PRJNA679796;R,71175040,1053316,ASM2301440v1
GCA_000827485.1,Amanita muscaria Koide BX008,Koide BX008,946122,0;2;4;6;7;8;A;J;N;P;PRJNA207684;R,40699759,30015,Amanita muscaria Koide BX008 v1.0
GCA_023014475.1,Amanita pallidorosea,LH00007,1324310,6;7;9;A;J;N;P;PRJNA679796;R,57854386,216962,ASM2301447v1
GCA_032173475.1,Amanita phalloides,,67723,1;4;5;6;9;A;J;N;P;PRJNA565149;R,35514831,117196,ASM3217347v1
GCA_001691755.2,Amanita polypyramis BW_CC,BW_CC,1457511,2;3;5;6;7;A;J;N;P;PRJNA236755;R,19670722,63015,ASM169175v2
GCA_003316615.1,Amanita pseudoporphyria,MG37,67725,2;4;5;7;A;J;N;P;PRJNA454572;R,52485497,6499,ASM331661v1
GCA_023014395.1,Amanita rimosa,LH00003,580330,6;7;9;A;J;N;P;PRJNA679796;R,45347215,697900,ASM2301439v1
GCA_015039365.1,Amanita rubescens,Prilba,71933,1;2;4;5;7;A;J;N;P;PRJNA572471;R,76593165,158644,Amarub1
GCA_020011035.1,Amanita subjunquillea,LH00001,67733,6;7;9;A;J;N;P;PRJNA679796;R,53204488,218346,ASM2001103v1
GCA_002554575.1,Amanita thiersii Skay4041,SKay4041,703135,2;4;7;8;9;A;J;N;P;PRJNA82749;R,33689220,60405,Amanita thiersii v1.0
GCA_001430945.1,Amauroascus niger,UAMH 3544,89421,0;2;4;8;A;J;N;P;PRJNA284880;R,36718296,52227,ASM143094v1
GCA_001430935.1,Amauroascus verrucosus,UAMH 3576,2074759,0;2;4;8;A;J;N;P;PRJNA284880;R,30376016,149134,ASM143093v1
GCA_017499575.1,Amauroderma rugosum,ACCC 51706,483017,0;1;2;4;5;6;A;J;N;P;PRJNA562041;R,40655687,3647844,ASM1749957v1
GCA_910591945.1,Ambispora gerdemannii,MT106,144530,0;3;4;5;B;E;J;P;PRJEB45340;R,87965881,10266,Ambispora_gerdemannii_MT106
GCA_910591765.1,Ambispora leptoticha,FL130A,144679,0;3;4;5;B;E;J;P;PRJEB45340;R,197202035,5886,Ambispora_leptoticha_FL130A
GCA_030294605.1,Ambrosiella beaveri,CBS 121753,573041,1;4;6;8;9;A;J;N;P;PRJNA948168;R,27036182,205401,ASM3029460v1
GCA_017139545.1,Ambrosiella cleistominuta,CBS 141682,1906498,1;2;3;5;6;9;A;J;N;P;PRJNA631592;R,27084340,108394,ASM1713954v1
GCA_002778035.1,Ambrosiella xylebori,CBS 110.61,44383,0;3;5;6;9;A;J;N;P;PRJNA395605;R,27201902,1073584,ASM277803v1
GCA_003705185.2,Ambrosiozyma ambrosiae,NRRL Y-7524,53487,1;2;4;9;A;J;N;P;PRJNA429441;R,14791786,275979,ASM370518v2
GCA_030567475.1,Ambrosiozyma angophorae,NRRL Y-7118,53648,2;3;4;6;7;A;J;N;P;PRJNA736342;R,12054867,87533,ASM3056747v1
GCA_030579935.1,Ambrosiozyma cicatricosa,NRRL Y-17594T,44082,2;3;4;6;7;A;J;N;P;PRJNA736342;R,23266441,35897,ASM3057993v1
GCA_030572235.1,Ambrosiozyma kamigamensis,NRRL Y-63629,1382202,2;3;4;6;7;A;J;N;P;PRJNA736342;R,19176771,55874,ASM3057223v1
GCA_001599075.1,Ambrosiozyma kashinagicola,JCM 15019,489715,0;3;6;8;B;D;J;P;PRJDB3556;PRJDB3608;R,12320962,418399,JCM_15019_assembly_v001
GCA_030568425.1,Ambrosiozyma llanquihuensis,NRRL Y-17657,51920,2;3;4;6;7;A;J;N;P;PRJNA736342;R,13544540,103886,ASM3056842v1
GCA_003706635.2,Ambrosiozyma maleeae (nom. inval.),NRRL Y-63635,904902,1;2;4;9;A;J;N;P;PRJNA429441;R,12697394,668977,ASM370663v2
GCA_001599995.1,Ambrosiozyma monospora,JCM 7599,43982,3;6;7;B;D;J;P;PRJDB3556;PRJDB3677;R,24978438,206887,JCM_7599_assembly_v001
GCA_030567495.1,Ambrosiozyma neoplatypodis,NRRL Y-63630,1382203,2;3;4;6;7;A;J;N;P;PRJNA736342;R,18833552,51824,ASM3056749v1
GCA_003706315.3,Ambrosiozyma oregonensis (nom. inval.),NRRL Y-6106,1382206,1;2;4;9;A;J;N;P;PRJNA429441;R,15100962,334567,ASM370631v3
GCA_003707675.3,Ambrosiozyma philentoma,NRRL Y-7523,43984,1;2;4;9;A;J;N;P;PRJNA429441;R,17467286,547646,ASM370767v3
GCA_030557395.1,Ambrosiozyma platypodis,NRRL Y-6732,36918,2;3;4;6;7;A;J;N;P;PRJNA736342;R,16279223,178095,ASM3055739v1
GCA_003707895.3,Ambrosiozyma pseudovanderkliftii,NRRL Y-63632,489716,1;2;4;9;A;J;N;P;PRJNA429441;R,14375358,232438,ASM370789v3
GCA_003705225.2,Ambrosiozyma vanderkliftii,NRRL Y-63633,489717,1;2;4;9;A;J;N;P;PRJNA429441;R,14491520,72218,ASM370522v2
GCA_004802645.1,Amesia nigricolor,F5,1934353,0;2;3;5;8;A;J;N;P;PRJNA530288;R,31024310,4645178,ASM480264v1
GCA_010015725.1,Amniculicola lignicola CBS 123094,CBS 123094,1392246,1;2;7;9;A;J;N;P;PRJNA217192;R,49576578,131161,Amnli1
GCA_018985225.1,Amoeboradix gromovi,X-113,2109901,3;6;8;9;A;J;N;P;PRJNA668693;R,10522442,13323,ASM1898522v1
GCF_003019875.1,Amorphotheca resinae ATCC 22711,ATCC 22711,857342,0;2;6;7;8;A;J;N;P;PRJNA207866;R,28632918,216801,Amore1
GCA_018398575.1,Ampelomyces quisqualis,BRIP 72107,50730,2;4;5;7;A;J;N;P;PRJNA725554;R,40378121,2994887,ASM1839857v1
GCA_001875675.1,Amphiamblys sp. WSBS2006,WSBS2006,1866961,0;1;2;3;5;A;J;N;P;PRJNA321520;R,5620147,10678,ASM187567v1
GCA_004123355.1,Amphirosellinia nigrospora,JS-1675,743113,0;1;2;5;7;A;J;N;P;PRJNA515207;R,48177783,5660951,ASM412335v1
GCA_019669835.1,Amylocarpus encephaloides,TRa018bII,45428,0;3;4;5;7;A;J;N;P;PRJNA347005;R,46286790,65840,Amyenc1
GCA_022376435.1,Amylocystis lapponica,SKaAmylap13,202700,0;2;3;7;A;J;N;P;PRJNA370002;R,35500685,160229,Amylap1_1
GCA_012932865.1,Amylostereum areolatum,HG-01,103385,1;2;3;4;5;9;A;J;N;P;PRJNA513942;R,57567124,518329,ASM1293286v1
GCA_022385825.1,Amylostereum chailletii,DWAch2,55340,0;2;5;6;A;J;N;P;PRJNA265560;R,38204724,13220,Amycha1
GCA_002104895.1,Anaeromyces robustus,S4,1754192,0;2;3;6;9;A;J;N;P;PRJNA330692;R,71685009,141798,Anaeromyces sp. S4 v1.0
GCA_000385875.2,Anncaliia algerae PRA339,PRA339,1288291,0;1;5;8;9;A;J;N;P;PRJNA188095;R,12163397,5402,Annc_alge_insect_USDA_JJB_V2
GCA_022836615.1,Annulohypoxylon bovei var. microspora,CBS 124037,326617,0;1;5;6;7;A;J;N;P;PRJNA567100;R,41758719,194784,Annbov1
GCF_022496945.1,Annulohypoxylon maeteangense,CBS 123835,1927788,2;3;5;8;A;J;N;P;PRJNA583852;R,38245008,1147713,Annmae1
GCA_022695765.1,Annulohypoxylon moriforme,CBS 123579,326622,1;4;5;6;7;9;A;J;N;P;PRJNA567194;R,42658955,296637,Annmor1
GCA_022496965.1,Annulohypoxylon nitens,CBS 120705,326626,1;5;6;7;9;A;J;N;P;PRJNA567196;R,38537808,1171268,Annnit1
GCA_003314315.1,Annulohypoxylon stygium,MG137,326628,2;4;5;7;A;J;N;P;PRJNA454572;R,38681057,713963,ASM331431v1
GCF_022578515.1,Annulohypoxylon truncatum,CBS 140777,327061,1;5;6;7;8;9;A;J;N;P;PRJNA567198;R,38067699,587353,Anntru1
GCA_010623925.1,Antarctomyces pellizariae,UFMG-CB-12416,1955577,0;5;6;7;A;J;N;P;PRJNA576065;R,24217994,220359,ASM1062392v1
GCA_014826065.1,Anthracocystis panici-leucophaei,SPL10,249478,1;3;4;6;8;A;J;N;P;PRJNA648134;R,18837883,969070,ASM1482606v1
GCA_928724745.1,Anthracocystis setariae,BRIP 26904 a,882916,0;4;5;8;9;B;E;J;P;PRJEB50498;R,21488978,921621,BRIP_26904_a
GCA_928858565.1,Anthracocystis walkeri,RK 031,1134040,0;2;3;5;6;B;E;J;P;PRJEB50362;R,18415360,1158577,RK031
GCA_007674295.1,Antonospora locustae,CLX,278021,3;5;6;A;J;N;P;PRJNA353563;R,3171376,183675,ASM767429v1
GCA_022598655.1,Antrodia cinnamomea,V5,279009,0;3;4;6;8;A;J;N;P;PRJNA386064;R,32855596,2407266,ASM2259865v1
GCA_004802725.1,Antrodiella citrinella,DSM 108506,2447956,1;4;5;7;8;A;J;N;P;PRJNA517448;R,33017182,63230,ASM480272v1
GCA_015345905.1,Aotearoamyces nothofagi,ICMP 21868,2592879,3;6;9;A;J;N;P;PRJNA666936;R,26044277,520994,ASM1534590v1
GCA_014839905.1,Aphanoascus verrucosus,IHEM 4434,180776,2;5;6;7;A;J;N;P;PRJNA656725;R,23059040,413338,ASM1483990v1
GCA_029218145.1,Aphanocladium album,MX95,12942,3;6;7;9;A;J;N;P;PRJNA937677;R,35117533,38109,ASM2921814v1
GCA_030549205.1,Apiosordaria backusii,CBS 540.89,314023,1;2;3;4;7;A;J;N;P;PRJNA371214;R,40188346,2878263,Apibac1
GCA_006508115.1,Apiospora malaysiana,STlab-iicb,1337666,1;3;4;5;8;A;J;N;P;PRJNA484135;R,46110019,336634,ASM650811v1
GCA_019976485.1,Apiospora pterosperma,CBS 123185,1337662,6;7;8;9;A;J;N;P;PRJNA698786;R,44521400,4729002,ASM1997648v1
GCA_022605435.1,Apiospora rasikravindrae,AQZ-20,990691,1;2;6;9;A;J;N;P;PRJNA661692;R,45874955,2356432,ASM2260543v1
GCA_019000065.1,Apiospora saccharicola,KUC21221,335842,2;3;5;6;8;9;A;J;N;P;PRJNA692538;R,55074194,3269722,ASM1900006v1
GCA_002973495.1,Apiotrichum akiyoshidainum,HP2023,279327,1;2;3;4;5;8;A;J;N;P;PRJNA428315;R,30042643,53521,ASM297349v1
GCA_001600295.1,Apiotrichum brassicae,JCM 1599,82513,3;5;6;9;B;D;J;P;PRJDB3556;PRJDB3695;R,23647732,301042,JCM_1599_assembly_v001
GCA_001599015.1,Apiotrichum domesticum,JCM 9580,82514,3;5;7;B;D;J;P;PRJDB3556;PRJDB3573;R,24510922,628101,JCM_9580_assembly_v001
GCA_001600315.1,Apiotrichum gamsii,JCM 9941,1105092,0;3;7;B;D;J;P;PRJDB3556;PRJDB3703;R,24609388,264663,JCM_9941_assembly_v001
GCA_001600335.1,Apiotrichum gracile,JCM 10018,82516,0;3;4;7;B;D;J;P;PRJDB3556;PRJDB3704;R,24114851,720667,JCM_10018_assembly_v001
GCA_001600735.1,Apiotrichum laibachii,JCM 2947,82520,0;3;7;B;D;J;P;PRJDB3556;PRJDB3730;R,30616633,331945,JCM_2947_assembly_v001
GCA_001598995.1,Apiotrichum montevideense,JCM 9937,82521,2;3;5;7;B;D;J;P;PRJDB3556;PRJDB3572;R,24872216,510995,JCM_9937_assembly_v001
GCA_013177335.1,Apiotrichum mycotoxinovorans,CICC 1454,252803,3;6;7;A;J;N;P;PRJNA633776;R,30749651,7496769,ASM1317733v1
GCF_003942205.1,Apiotrichum porosum,DSM 27194,105984,0;3;5;6;7;A;J;N;P;PRJNA506377;R,25479456,1376709,ASM394220v1
