ACCESSION,SPECIES,STRAIN,NCBI_TAXID,BIOPROJECT,ASM_LENGTH,N50,ASM_NAME
GCA_030572235.1,Ambrosiozyma kamigamensis,NRRL Y-63629,1382202,PRJNA736342,19176771,59429,ASM3057223v1
GCA_001599075.1,Ambrosiozyma kashinagicola,JCM 15019,489715,PRJDB3556;PRJDB3608,12320962,1369417,JCM_15019_assembly_v001
GCA_030568425.1,Ambrosiozyma llanquihuensis,NRRL Y-17657,51920,PRJNA736342,13544540,103886,ASM3056842v1
GCA_003706635.2,Ambrosiozyma maleeae (nom. inval.),NRRL Y-63635,904902,PRJNA429441,12697394,668977,ASM370663v2
GCA_001599995.1,Ambrosiozyma monospora,JCM 7599,43982,PRJDB3556;PRJDB3677,24978438,679229,JCM_7599_assembly_v001
GCA_030567495.1,Ambrosiozyma neoplatypodis,NRRL Y-63630,1382203,PRJNA736342,18833552,52344,ASM3056749v1
GCA_003706315.3,Ambrosiozyma oregonensis (nom. inval.),NRRL Y-6106,1382206,PRJNA429441,15100962,334567,ASM370631v3
GCA_003707675.3,Ambrosiozyma philentoma,NRRL Y-7523,43984,PRJNA429441,17467286,547646,ASM370767v3
GCA_030557395.1,Ambrosiozyma platypodis,NRRL Y-6732,36918,PRJNA736342,16279223,196169,ASM3055739v1
GCA_003707895.3,Ambrosiozyma pseudovanderkliftii,NRRL Y-63632,489716,PRJNA429441,14375358,239702,ASM370789v3
GCA_003705225.2,Ambrosiozyma vanderkliftii,NRRL Y-63633,489717,PRJNA429441,14491520,115710,ASM370522v2
GCA_004802645.1,Amesia nigricolor,F5,1934353,PRJNA530288,31024310,4645178,ASM480264v1
GCA_010015725.1,Amniculicola lignicola CBS 123094,CBS 123094,1392246,PRJNA217192,49576578,438754,Amnli1
GCA_018985225.1,Amoeboradix gromovi,X-113,2109901,PRJNA668693,10522442,13323,ASM1898522v1
GCF_003019875.1,Amorphotheca resinae ATCC 22711,ATCC 22711,857342,PRJNA207866,28632918,1980626,Amore1
GCA_018398575.1,Ampelomyces quisqualis,BRIP 72107,50730,PRJNA725554,40378121,2994887,ASM1839857v1
GCA_050947745.1,Amphichorda felina,45539,37994,PRJNA1174440,29588262,3278244,ASM5094774v1
GCA_004123355.1,Amphirosellinia nigrospora,JS-1675,743113,PRJNA515207,48177783,11779755,ASM412335v1
GCA_982296945.1,Ampulloclitocybe clavipes,,56467,PRJEB110026;PRJEB40665;PRJEB43510;PRJEB43745;PRJEB79613;PRJNA533106,87687615,6006057,gfAmpClav1.hap2.1
GCA_019669835.1,Amylocarpus encephaloides,TRa018bII,45428,PRJNA347005,46286790,74588,Amyenc1
GCA_022376435.1,Amylocystis lapponica,SKaAmylap13,202700,PRJNA370002,35500685,160229,Amylap1_1
GCA_036971615.1,Amyloporia xantha,YAFMF0618,1333629,PRJNA1048181,46808119,1480651,ASM3697161v1
GCA_012932865.1,Amylostereum areolatum,HG-01,103385,PRJNA513942,57567124,731813,ASM1293286v1
GCA_022385825.1,Amylostereum chailletii,DWAch2,55340,PRJNA265560,38204724,43122,Amycha1
GCA_002104895.1,Anaeromyces robustus,S4,1754192,PRJNA330692,71685009,141798,Anaeromyces_sp._S4_v1.0
GCA_045281415.1,Anguillospora crassa,DSM 105023,213319,PRJNA1148789,55474510,3204304,ASM4528141v1
GCA_038502455.1,Anisogramma anomala,OR1,529478,PRJNA966177,342498352,33254450,ASM3850245v1
GCA_000385875.2,Anncaliia algerae PRA339,PRA339,1288291,PRJNA188095,12163397,71704,Annc_alge_insect_USDA_JJB_V2
GCA_963924275.1,Annulohypoxylon annulatum,CBS 149473,327058,PRJEB62835,36866819,502210,CBS149473_assembly
GCA_022836615.1,Annulohypoxylon bovei var. microspora,CBS 124037,326617,PRJNA567100,41758719,227983,Annbov1
GCF_022496945.1,Annulohypoxylon maeteangense,CBS 123835,1927788,PRJNA583852,38245008,1644824,Annmae1
GCA_022695765.1,Annulohypoxylon moriforme,CBS 123579,326622,PRJNA567194,42658955,338854,Annmor1
GCA_022496965.1,Annulohypoxylon nitens,CBS 120705,326626,PRJNA567196,38537808,1333437,Annnit1
GCA_040126005.1,Annulohypoxylon stygium,TJAS01,326628,PRJNA1119705,38763155,4183141,TJAS01
GCF_022578515.1,Annulohypoxylon truncatum,CBS 140777,327061,PRJNA567198,38067699,762608,Anntru1
GCA_010623925.1,Antarctomyces pellizariae,UFMG-CB-12416,1955577,PRJNA576065,24217994,220359,ASM1062392v1
GCA_963556695.1,Anthostomella pinea,,933095,PRJEB67537,53760342,5428629,KHLLAP
GCA_046718355.1,Anthracina ramosa,CGMCC 3.16372,1628683,PRJNA1051547,28000125,2213505,ASM4671835v1
GCA_014826065.1,Anthracocystis panici-leucophaei,SPL10,249478,PRJNA648134,18837883,969070,ASM1482606v1
GCA_928724745.1,Anthracocystis setariae,BRIP 26904 a,882916,PRJEB50498,21488978,921621,BRIP_26904_a
GCA_928858565.1,Anthracocystis walkeri,RK 031,1134040,PRJEB50362,18415360,1158577,RK031
GCA_007674295.1,Antonospora locustae,CLX,278021,PRJNA353563,3171376,183675,ASM767429v1
GCA_004802725.1,Antrodiella citrinella,DSM 108506,2447956,PRJNA517448,33017182,66860,ASM480272v1
GCA_964254895.1,Anzia colpodes,,315933,PRJEB77567,30311807,11529,public_SRR14722132_metabat2_bin.8
GCA_015345905.1,Aotearoamyces nothofagi,ICMP 21868,2592879,PRJNA666936,26044277,827040,ASM1534590v1
GCA_014839905.1,Aphanoascus verrucosus,IHEM 4434,180776,PRJNA656725,23059040,431853,ASM1483990v1
GCA_029218145.1,Aphanocladium album,MX95,12942,PRJNA937677,35117533,38109,ASM2921814v1
GCA_030549205.1,Apiosordaria backusii,CBS 540.89,314023,PRJNA371214,40188346,2878263,Apibac1
GCA_039105305.1,Apiospora arundinis,AAU 773,335852,PRJNA891674,48741668,5301101,ASM3910530v1
GCF_038362705.1,Apiospora aurea,CBS 24483,335848,PRJNA923254,49776134,5466563,ASM3836270v1
GCA_040333125.2,Apiospora guizhouensis,F035,2044991,PRJNA1116794,45875721,5326493,ASM4033312v2
GCF_038363865.1,Apiospora hydei,CBS 114990,1337664,PRJNA923254,47384980,5506969,ASM3836386v1
GCF_038363985.1,Apiospora kogelbergensis,CBS 113332,1337665,PRJNA923254,46602209,5256650,ASM3836398v1
GCA_017163955.1,Apiospora koreana,KUC21332,2874188,PRJNA692538,48739493,3570796,ASM1716395v1
GCA_977012365.1,Apiospora malaysiana,,1337666,PRJEB100626,46110019,2429633,Apio_malaysiana
GCF_038362585.1,Apiospora marii,CBS 49790,335849,PRJNA923254,51094086,5090723,ASM3836258v1
GCF_038363925.1,Apiospora phragmitis,CBS 135458,2905665,PRJNA923254,52445507,3519214,ASM3836392v1
GCA_019976485.1,Apiospora pterosperma,CBS 123185,1337662,PRJNA698786,44521400,4729002,ASM1997648v1
GCA_038363885.1,Apiospora rasikravindrae,CBS 33761,990691,PRJNA923254,46378008,5079597,ASM3836388v1
GCA_038363915.1,Apiospora saccharicola,CBS 83171,335842,PRJNA923254,51869161,5902260,ASM3836391v1
GCA_040366785.1,Apiospora sphaerosperma,JCM 6018,2938339,PRJDB3556;PRJDB3638,51071855,2962747,JCM_6018_assembly_v001
GCA_002973495.1,Apiotrichum akiyoshidainum,HP2023,279327,PRJNA428315,30042643,53521,ASM297349v1
GCA_001600295.1,Apiotrichum brassicae,JCM 1599,82513,PRJDB3556;PRJDB3695,23647732,2410059,JCM_1599_assembly_v001
GCA_040285315.1,Apiotrichum cacaoliposimile,UB0827,879818,PRJNA1062540,23329550,416375,ASM4028531v1
GCA_001599015.1,Apiotrichum domesticum,JCM 9580,82514,PRJDB3556;PRJDB3573,24510922,3306260,JCM_9580_assembly_v001
GCA_001600315.1,Apiotrichum gamsii,JCM 9941,1105092,PRJDB3556;PRJDB3703,24609388,3284570,JCM_9941_assembly_v001
GCA_001600335.1,Apiotrichum gracile,JCM 10018,82516,PRJDB3556;PRJDB3704,24114851,4554691,JCM_10018_assembly_v001
GCA_001600735.1,Apiotrichum laibachii,JCM 2947,82520,PRJDB3556;PRJDB3730,30616633,2819049,JCM_2947_assembly_v001
GCA_051034095.1,Apiotrichum loubieri,L102,82519,PRJNA1277460,61332890,63579,ASM5103409v1
GCA_001598995.1,Apiotrichum montevideense,JCM 9937,82521,PRJDB3556;PRJDB3572,24872216,1972470,JCM_9937_assembly_v001
GCA_013177335.1,Apiotrichum mycotoxinovorans,CICC 1454,252803,PRJNA633776,30749651,7496769,ASM1317733v1
GCF_003942205.1,Apiotrichum porosum,DSM 27194,105984,PRJNA506377,25479456,1376709,ASM394220v1
GCA_023653615.1,Apiotrichum siamense,L8in5,265193,PRJNA812413,23186175,368156,APSI0
GCA_001600595.1,Apiotrichum veenhuisii,JCM 10691,105713,PRJDB3556;PRJDB3717,31617680,2551142,JCM_10691_assembly_v001
GCF_010093885.1,Aplosporella prunicola CBS 121167,CBS 121167,1176127,PRJNA196034,32818685,957837,Aplpr1
GCA_033439685.1,Apodospora peruviana,CBS 118394,516989,PRJNA370049,42017045,4735592,Apope1
GCA_000696995.1,Apophysomyces elegans B7760,B7760,1274791,PRJNA184884,38467560,101064,ApoEleB7760-1.0
GCA_014839865.1,Apophysomyces ossiformis,NRRL A-21654,679940,PRJNA499679,34079843,125890,ASM1483986v1
GCA_000696975.1,Apophysomyces trapeziformis B9324,B9324,1274790,PRJNA184883,35840759,141065,ApoTraB9324-1.0
GCA_002749535.1,Apophysomyces variabilis,NCCPF 102052,760013,PRJNA379216,39322312,647494,ASM274953v1
GCA_003415625.1,Aquanectria penicillioides,NNIBRFG19,1634478,PRJNA445064,53763490,4932896,ASM341562v1
GCA_003988855.1,Arachnopeziza araneosa,D781,2259763,PRJNA487672,40453245,210669,ASM398885v1
GCA_051247085.1,Arachnopeziza aurata,CBS127674,47752,PRJNA1128938,43078696,2695373,RWTH_Aaurat_2.3
GCA_051247835.1,Arachnopeziza aurelia,CBS127675,742136,PRJNA1128938,46346353,2924875,RWTH_Aaurel_2.3
GCA_054372435.1,Arcopilus aureus,MB-11,79815,PRJNA1334146,33771076,5089737,ASM5437243v1
GCA_052323795.1,Aristastoma oeconomicum,CBS 104.47,2074774,PRJNA1226367,32023962,379276,ASM5232379v1
GCA_022818075.1,Armillaria altimontana,837-10,1156164,PRJNA766083,73739702,1930169,ASM2281807v1
GCA_030435635.1,Armillaria borealis,FPL87.14,47425,PRJNA519861,71689880,355568,Armbor1
GCA_043748625.1,Armillaria calvescens,YAFA0618,64369,PRJNA1138632,92249651,1906071,ASM4374862v1
GCA_900157415.1,Armillaria cepistipes,B5,47426,PRJEB19205,75519607,2288895,version_2
GCA_030407015.1,Armillaria fumosa,CBS 122221,153910,PRJNA677794,55824865,3850518,Armfum1
GCA_001679825.1,Armillaria fuscipes,CMW2740,108572,PRJNA315660,52984320,5422,ASM167982v1
GCA_037576215.1,Armillaria gallica,M3,47427,PRJNA1082085,86087770,6065498,ASM3757621v1
GCA_030435615.1,Armillaria luteobubalina,HWK02,153913,PRJNA500536,97106278,840346,Armlut1
GCA_030407055.1,Armillaria mellea,ELDO17,47429,PRJNA571622,70852771,2540624,Armmel1
GCA_052426525.1,Armillaria mexicana,IZTA4595,1806960,PRJNA1217044,49049582,3015657,ASM5242652v1
GCA_030407065.1,Armillaria nabsnona,CMW6904,64368,PRJNA500837,62718798,2689454,Armnab1
GCA_030435655.1,Armillaria novae-zelandiae,ICMP 16352,153914,PRJNA677793,79334843,741865,Armnov1
GCA_902506015.1,Armillaria ostoyae,C18/9,47428,PRJEB19205,56666185,5329788,ARMOSTPCHR
GCA_040085025.1,Armillaria sinapina,YAFMHJ89,64372,PRJNA1120229,101988884,9545,ASM4008502v1
GCA_022818035.1,Armillaria solidipes,ID001,1076256,PRJNA766051,55735298,2424439,ASM2281803v1
GCA_002989075.1,Arthonia radiata,EZ20314,39680,PRJNA432823,33501807,2247352,artRad1.0
GCA_964256465.1,Arthonia rubella,,2563725,PRJEB77567,25185608,8636,public_SRR14721978_concoct_merged.0
GCA_964256665.1,Arthonia susa,,2488734,PRJEB77567,22898054,22243,public_SRR13685140_metabat2_bin.1
GCA_964255825.1,Arthothelium ruanum,,2080612,PRJEB77567,24194649,38497,public_SRR14722233_metabat2_bin.15
GCA_006503535.1,Arthrinium phaeospermum,M.B.Ellis,112178,PRJNA491372,48449939,3733262,ASM650353v1
GCA_022414665.1,Arthrinium puccinioides,CBS 549.89,335850,PRJNA764836,39650489,6167320,ASM2241466v1
GCA_036971725.1,Arthrobotrys conoides,TWF506,74498,PRJNA523420,40273263,2969558,ASM3697172v1
GCA_012184315.1,Arthrobotrys entomopaga,CBS642.8,321852,PRJNA283584,38379124,579495,ASM1218431v1
GCF_004000055.1,Arthrobotrys flagrans,CBS H-5679,97331,PRJNA494930,36645795,6168687,DF_1.0
GCA_036971165.1,Arthrobotrys iridis,CGMCC 3.6761,314119,PRJNA791178,39780665,2488277,ASM3697116v1
GCA_036971655.1,Arthrobotrys megalospora,TWF281,2528406,PRJNA523414,37933658,2271274,TWF281
GCA_036971715.1,Arthrobotrys musiformis,TWF481,47236,PRJNA523416,42091834,3752544,ASM3697171v1
