ACCESSION,SPECIES,STRAIN,NCBI_TAXID,BIOPROJECT,ASM_LENGTH,N50,ASM_NAME
GCA_040583665.1,Alternaria sp. KAS5446,KAS5446,2803129,PRJNA612050,33481341,1053440,KAS5446_v1
GCA_040583645.1,Alternaria sp. KAS5449,KAS5449,2803128,PRJNA612050,33765313,2355419,KAS5449_v1
GCA_040583605.1,Alternaria sp. KAS5470,KAS5470,2803127,PRJNA612050,33753600,1888051,KAS5470_v1
GCA_040583625.1,Alternaria sp. KAS5474,KAS5474,2803126,PRJNA612050,32527419,860347,KAS5474_v1
GCA_040583575.1,Alternaria sp. KAS5477,KAS5477,2803125,PRJNA612050,33617366,2373000,KAS5477_v1
GCA_040583525.1,Alternaria sp. KAS5486,KAS5486,2803124,PRJNA612050,33712139,2050271,KAS5486_v1
GCA_040583505.1,Alternaria sp. KAS5506,KAS5506,2803123,PRJNA612050,33717630,1997687,KAS5506_v1
GCA_023621305.1,Alternaria sp. M3903,M3903,2940395,PRJNA833221,33774396,1167323,ASM2362130v1
GCA_023621335.1,Alternaria sp. M3908,M3908,2940393,PRJNA833221,33771355,909102,ASM2362133v1
GCA_003574525.1,Alternaria sp. MG1,MG1,1678846,PRJNA417218,34695644,1661510,ASM357452v1
GCA_966192485.1,Alternaria sp. RS040,RS040,3450158,PRJEB93827,33589717,2906235,RS040_annot_assembly
GCA_023621325.1,Alternaria sp. S3601,S3601,2940394,PRJNA833221,34244541,1457817,ASM2362132v1
GCA_024606205.1,Alternaria sp. SPS-2,SPS-2,2963890,PRJNA832572,33400178,2610814,ASM2460620v1
GCA_041430775.1,Alternaria tenuissima,JgmB 36-2,119927,PRJNA1097852,39993475,2909493,ASM4143077v1
GCF_023758025.1,Alternaria triticimaculans,BMP 0046,297637,PRJNA706766,36788567,1666515,ASM2375802v1
GCA_040583995.1,Alternaria triticina,DAOMC238612,216836,PRJNA612050,34641617,696913,DAOMC238612_v1
GCF_023758065.1,Alternaria ventricosa,BMP 2768,1187951,PRJNA706766,34687354,1329355,ASM2375806v1
GCF_023758015.1,Alternaria viburni,BMP 2772,566460,PRJNA706766,36351886,1053821,ASM2375801v1
GCA_030386735.1,Alternosema astaquatica,1,3037678,PRJNA950224,1517482,2796,Fv_Alternosema1
GCA_026054675.1,Alyxoria varia,Spribille s.n. 20.09.2020/TS-e1968,91480,PRJNA833438,25325852,348177,ASM2605467v1
GCA_001983365.1,Amanita bisporigera,Ingham01,87325,PRJNA339438,75346262,13906,ASM198336v1
GCA_001691785.3,Amanita brunnescens Koide BX004,Koide BX004,1457509,PRJNA236753,36016155,12963,ASM169178v3
GCA_023014455.1,Amanita exitialis,LH00005,262245,PRJNA679796,49118549,3025964,ASM2301445v1
GCA_023014435.1,Amanita fuliginea,LH00002,67708,PRJNA679796,60225502,3461821,ASM2301443v1
GCA_001691775.3,Amanita inopinata Kibby_2008,Kibby_2008,1457513,PRJNA236757,20082689,140420,ASM169177v3
GCA_000497225.1,Amanita jacksonii TRTC168611,,1417757,PRJNA226613,30856360,25739,AmaJack1.0
GCA_023014405.1,Amanita molliuscula,LH00009,1506954,PRJNA679796,71175040,1053316,ASM2301440v1
GCA_054369615.1,Amanita muscaria,2016PMI152,41956,PRJNA697207,110261529,2171544,ASM5436961v1
GCA_000827485.1,Amanita muscaria Koide BX008,Koide BX008,946122,PRJNA207684,40699759,168151,Amanita_muscaria_Koide_BX008_v1.0
GCA_001691765.1,Amanita muscaria var. guessowii Koide BX008,Koide BX008,1457510,PRJNA236758,67640596,12054,ASM169176v1
GCA_023014475.1,Amanita pallidorosea,LH00007,1324310,PRJNA679796,57854386,537462,ASM2301447v1
GCA_032173475.1,Amanita phalloides,,67723,PRJNA565149,35514831,320321,ASM3217347v1
GCA_001691755.2,Amanita polypyramis BW_CC,BW_CC,1457511,PRJNA236755,19670722,64128,ASM169175v2
GCA_003316615.1,Amanita pseudoporphyria,MG37,67725,PRJNA454572,52485497,7168,ASM331661v1
GCA_023014395.1,Amanita rimosa,LH00003,580330,PRJNA679796,45347215,697900,ASM2301439v1
GCA_965266955.1,Amanita rubescens,,71933,PRJEB40665;PRJEB43510;PRJEB43745;PRJEB82201;PRJEB88951;PRJNA533106,34096625,2720495,gfAmaRube1.hap1.1
GCA_020011035.1,Amanita subjunquillea,LH00001,67733,PRJNA679796,53204488,838703,ASM2001103v1
GCA_002554575.1,Amanita thiersii Skay4041,SKay4041,703135,PRJNA82749,33689220,77057,Amanita_thiersii_v1.0
GCA_001430945.1,Amauroascus niger,UAMH 3544,89421,PRJNA284880,36718296,98932,ASM143094v1
GCA_001430935.1,Amauroascus verrucosus,UAMH 3576,2074759,PRJNA284880,30376016,217754,ASM143093v1
GCA_910591945.1,Ambispora gerdemannii,MT106,144530,PRJEB45340,87965881,10266,Ambispora_gerdemannii_MT106
GCA_910591765.1,Ambispora leptoticha,FL130A,144679,PRJEB45340,197202035,5886,Ambispora_leptoticha_FL130A
GCA_030294605.1,Ambrosiella beaveri,CBS 121753,573041,PRJNA948168,27036182,291932,ASM3029460v1
GCA_017139545.1,Ambrosiella cleistominuta,CBS 141682,1906498,PRJNA631592,27084340,108394,ASM1713954v1
GCA_050613645.1,Ambrosiella roeperi,2021000006,1535305,PRJNA1084195,27965713,2300624,ASM5061364v1
GCA_002778035.1,Ambrosiella xylebori,CBS 110.61,44383,PRJNA395605,27201902,1859748,ASM277803v1
GCA_003705185.2,Ambrosiozyma ambrosiae,NRRL Y-7524,53487,PRJNA429441,14791786,366569,ASM370518v2
GCA_030567475.1,Ambrosiozyma angophorae,NRRL Y-7118,53648,PRJNA736342,12054867,269477,ASM3056747v1
GCA_030579935.1,Ambrosiozyma cicatricosa,NRRL Y-17594T,44082,PRJNA736342,23266441,36430,ASM3057993v1
GCA_030572235.1,Ambrosiozyma kamigamensis,NRRL Y-63629,1382202,PRJNA736342,19176771,59429,ASM3057223v1
GCA_001599075.1,Ambrosiozyma kashinagicola,JCM 15019,489715,PRJDB3556;PRJDB3608,12320962,1369417,JCM_15019_assembly_v001
GCA_030568425.1,Ambrosiozyma llanquihuensis,NRRL Y-17657,51920,PRJNA736342,13544540,103886,ASM3056842v1
GCA_003706635.2,Ambrosiozyma maleeae (nom. inval.),NRRL Y-63635,904902,PRJNA429441,12697394,668977,ASM370663v2
GCA_001599995.1,Ambrosiozyma monospora,JCM 7599,43982,PRJDB3556;PRJDB3677,24978438,679229,JCM_7599_assembly_v001
GCA_030567495.1,Ambrosiozyma neoplatypodis,NRRL Y-63630,1382203,PRJNA736342,18833552,52344,ASM3056749v1
GCA_003706315.3,Ambrosiozyma oregonensis (nom. inval.),NRRL Y-6106,1382206,PRJNA429441,15100962,334567,ASM370631v3
GCA_003707675.3,Ambrosiozyma philentoma,NRRL Y-7523,43984,PRJNA429441,17467286,547646,ASM370767v3
GCA_030557395.1,Ambrosiozyma platypodis,NRRL Y-6732,36918,PRJNA736342,16279223,196169,ASM3055739v1
GCA_003707895.3,Ambrosiozyma pseudovanderkliftii,NRRL Y-63632,489716,PRJNA429441,14375358,239702,ASM370789v3
GCA_003705225.2,Ambrosiozyma vanderkliftii,NRRL Y-63633,489717,PRJNA429441,14491520,115710,ASM370522v2
GCA_004802645.1,Amesia nigricolor,F5,1934353,PRJNA530288,31024310,4645178,ASM480264v1
GCA_010015725.1,Amniculicola lignicola CBS 123094,CBS 123094,1392246,PRJNA217192,49576578,438754,Amnli1
GCA_018985225.1,Amoeboradix gromovi,X-113,2109901,PRJNA668693,10522442,13323,ASM1898522v1
GCA_001270345.1,Amorphotheca resinae,ZN1,5101,PRJNA272649,54474545,375415,ASM127034v1
GCF_003019875.1,Amorphotheca resinae ATCC 22711,ATCC 22711,857342,PRJNA207866,28632918,1980626,Amore1
GCA_018398575.1,Ampelomyces quisqualis,BRIP 72107,50730,PRJNA725554,40378121,2994887,ASM1839857v1
GCA_052029495.1,Ampelomyces sp. BRIP 72102,BRIP 72102,3373175,PRJNA1172774,37322005,3841740,ASM5202949v1
GCA_051944865.1,Ampelomyces sp. BRIP:72097,BRIP:72097,3127925,PRJNA1083054,33451943,1889696,ASM5194486v1
GCA_001875675.1,Amphiamblys sp. WSBS2006,WSBS2006,1866961,PRJNA321520,5620147,12035,ASM187567v1
GCA_050947745.1,Amphichorda felina,45539,37994,PRJNA1174440,29588262,3278244,ASM5094774v1
GCA_004123355.1,Amphirosellinia nigrospora,JS-1675,743113,PRJNA515207,48177783,11779755,ASM412335v1
GCA_982296945.1,Ampulloclitocybe clavipes,,56467,PRJEB110026;PRJEB40665;PRJEB43510;PRJEB43745;PRJEB79613;PRJNA533106,87687615,6006057,gfAmpClav1.hap2.1
GCA_019669835.1,Amylocarpus encephaloides,TRa018bII,45428,PRJNA347005,46286790,74588,Amyenc1
GCA_022376435.1,Amylocystis lapponica,SKaAmylap13,202700,PRJNA370002,35500685,160229,Amylap1_1
GCA_036971615.1,Amyloporia xantha,YAFMF0618,1333629,PRJNA1048181,46808119,1480651,ASM3697161v1
GCA_012932865.1,Amylostereum areolatum,HG-01,103385,PRJNA513942,57567124,731813,ASM1293286v1
GCA_022385825.1,Amylostereum chailletii,DWAch2,55340,PRJNA265560,38204724,43122,Amycha1
GCA_002104895.1,Anaeromyces robustus,S4,1754192,PRJNA330692,71685009,141798,Anaeromyces_sp._S4_v1.0
GCA_045281415.1,Anguillospora crassa,DSM 105023,213319,PRJNA1148789,55474510,3204304,ASM4528141v1
GCA_038502455.1,Anisogramma anomala,OR1,529478,PRJNA966177,342498352,33254450,ASM3850245v1
GCA_000313815.1,Anncaliia algerae,Undeen,67680,PRJEA84437,13823425,2209,ASM31381v1
GCA_000385855.2,Anncaliia algerae PRA109,PRA109,1240240,PRJNA188094,17534931,5047,Annc_alge_PRA109_V4
GCA_000385875.2,Anncaliia algerae PRA339,PRA339,1288291,PRJNA188095,12163397,71704,Annc_alge_insect_USDA_JJB_V2
GCA_963924275.1,Annulohypoxylon annulatum,CBS 149473,327058,PRJEB62835,36866819,502210,CBS149473_assembly
GCA_022836615.1,Annulohypoxylon bovei var. microspora,CBS 124037,326617,PRJNA567100,41758719,227983,Annbov1
GCF_022496945.1,Annulohypoxylon maeteangense,CBS 123835,1927788,PRJNA583852,38245008,1644824,Annmae1
GCA_022695765.1,Annulohypoxylon moriforme,CBS 123579,326622,PRJNA567194,42658955,338854,Annmor1
GCA_022496965.1,Annulohypoxylon nitens,CBS 120705,326626,PRJNA567196,38537808,1333437,Annnit1
GCA_040104375.1,Annulohypoxylon sp. FPYF3050,FPYF3050,2857486,PRJNA1116787,43344577,3896947,ASM4010437v1
GCA_040938065.1,Annulohypoxylon sp. FPYF3050.1,FPYF3050.1,3143927,PRJNA1105744,43344577,3896947,ASM4093806v1
GCA_040126005.1,Annulohypoxylon stygium,TJAS01,326628,PRJNA1119705,38763155,4183141,TJAS01
GCF_022578515.1,Annulohypoxylon truncatum,CBS 140777,327061,PRJNA567198,38067699,762608,Anntru1
GCA_010623925.1,Antarctomyces pellizariae,UFMG-CB-12416,1955577,PRJNA576065,24217994,220359,ASM1062392v1
GCA_963556695.1,Anthostomella pinea,,933095,PRJEB67537,53760342,5428629,KHLLAP
GCA_046718355.1,Anthracina ramosa,CGMCC 3.16372,1628683,PRJNA1051547,28000125,2213505,ASM4671835v1
GCA_014826065.1,Anthracocystis panici-leucophaei,SPL10,249478,PRJNA648134,18837883,969070,ASM1482606v1
GCA_928724745.1,Anthracocystis setariae,BRIP 26904 a,882916,PRJEB50498,21488978,921621,BRIP_26904_a
GCA_928858565.1,Anthracocystis walkeri,RK 031,1134040,PRJEB50362,18415360,1158577,RK031
GCA_007674295.1,Antonospora locustae,CLX,278021,PRJNA353563,3171376,183675,ASM767429v1
GCA_004802725.1,Antrodiella citrinella,DSM 108506,2447956,PRJNA517448,33017182,66860,ASM480272v1
GCA_964254895.1,Anzia colpodes,,315933,PRJEB77567,30311807,11529,public_SRR14722132_metabat2_bin.8
GCA_015345905.1,Aotearoamyces nothofagi,ICMP 21868,2592879,PRJNA666936,26044277,827040,ASM1534590v1
GCA_014839905.1,Aphanoascus verrucosus,IHEM 4434,180776,PRJNA656725,23059040,431853,ASM1483990v1
GCA_029218145.1,Aphanocladium album,MX95,12942,PRJNA937677,35117533,38109,ASM2921814v1
GCA_030549205.1,Apiosordaria backusii,CBS 540.89,314023,PRJNA371214,40188346,2878263,Apibac1
GCA_039105305.1,Apiospora arundinis,AAU 773,335852,PRJNA891674,48741668,5301101,ASM3910530v1
GCF_038362705.1,Apiospora aurea,CBS 24483,335848,PRJNA923254,49776134,5466563,ASM3836270v1
GCA_040333125.2,Apiospora guizhouensis,F035,2044991,PRJNA1116794,45875721,5326493,ASM4033312v2
GCF_038363865.1,Apiospora hydei,CBS 114990,1337664,PRJNA923254,47384980,5506969,ASM3836386v1
GCF_038363985.1,Apiospora kogelbergensis,CBS 113332,1337665,PRJNA923254,46602209,5256650,ASM3836398v1
GCA_017163955.1,Apiospora koreana,KUC21332,2874188,PRJNA692538,48739493,3570796,ASM1716395v1
GCA_977012365.1,Apiospora malaysiana,,1337666,PRJEB100626,46110019,2429633,Apio_malaysiana
