ASM_ACCESSION,NCBI_TAXID,SPECIES_IN,STRAIN,PHYLUM,SUBPHYLUM,CLASS,SUBCLASS,ORDER,FAMILY,GENUS,SPECIES
GCA_025617375.2_glAcaSoci1.1,1307805,Acarospora socialis,JNA_AS_CCGP158,Ascomycota,,Lecanoromycetes,,Acarosporales,Acarosporaceae,Acarospora,Acarospora socialis
GCA_964255005.1_public_SRR14722090_metabat2_bin.14,2841863,Acarospora sp. Tripp_6053_NY-2858381,,Ascomycota,,Lecanoromycetes,,Acarosporales,Acarosporaceae,Acarospora,Acarospora sp. Tripp_6053_NY-2858381
GCA_004114255.1_ASM411425v1,1172177,Acaulopage tetraceros,T-All,Zoopagomycota,,Zoopagomycetes,,Zoopagales,Zoopagaceae,Acaulopage,Acaulopage tetraceros
GCA_910592055.1_Acaulospora_colombiana_CL356,27376,Acaulospora colombiana,CL356,Glomeromycota,,Glomeromycetes,,Diversisporales,Acaulosporaceae,Acaulospora,Acaulospora colombiana
GCA_910591835.1_Acaulospora_morrowiae_CL551,94023,Acaulospora morrowiae,CL551,Glomeromycota,,Glomeromycetes,,Diversisporales,Acaulosporaceae,Acaulospora,Acaulospora morrowiae
GCA_014904845.1_Acema1,886606,Acephala macrosclerotiorum,EW76-UTF0540,Ascomycota,,Leotiomycetes,,Helotiales,Mollisiaceae,Acephala,Acephala macrosclerotiorum
GCA_031001845.1_ASM3100184v1,1934374,Achaetomiella virescens,148.68,Ascomycota,,Sordariomycetes,,Sordariales,Chaetomiaceae,Achaetomiella,Achaetomiella virescens
GCA_033296875.1_Achma1,79813,Achaetomium macrosporum,CBS 532.94,Ascomycota,,Sordariomycetes,,Sordariales,Chaetomiaceae,Achaetomium,Achaetomium macrosporum
GCA_030579395.1_ASM3057939v1,43968,Aciculoconidium aculeatum,NRRL YB-4298,Ascomycota,,Pichiomycetes,,Serinales,Debaryomycetaceae,Aciculoconidium,Aciculoconidium aculeatum
GCA_000222935.2_AciTa_1.0,1036760,Aciculosporium take MAFF-241224,MAFF-241224,Ascomycota,,Sordariomycetes,,Hypocreales,Clavicipitaceae,Aciculosporium,Aciculosporium take
GCA_019670975.1_ASM1967097v1,1176733,Acidiella bohemica,SYSU C17045,Ascomycota,,Dothideomycetes,,Mycosphaerellales,Teratosphaeriaceae,Acidiella,Acidiella bohemica
GCA_001592465.1_Acidomyces_richmondensis_BFW_v1.0,766039,Acidomyces richmondensis BFW,BFW,Ascomycota,,Dothideomycetes,,Mycosphaerellales,Teratosphaeriaceae,Acidomyces,Acidomyces sp. 'richmondensis'
GCA_003545705.1_ASM354570v1,245562,Acidomyces sp. 'richmondensis',FRIK2901,Ascomycota,,Dothideomycetes,,Mycosphaerellales,Teratosphaeriaceae,Acidomyces,Acidomyces sp. 'richmondensis'
GCA_001572075.1_ASM157207v1,245562,Acidomyces sp. 'richmondensis',meta,Ascomycota,,Dothideomycetes,,Mycosphaerellales,Teratosphaeriaceae,Acidomyces,Acidomyces sp. 'richmondensis'
GCA_054490815.1_RUAS_VINSTROM,1036751,Acremonium polychromum,NFCCI 6138,Ascomycota,,Sordariomycetes,,Hypocreales,Bionectriaceae,Acremonium,Acremonium polychromum
GCA_020087035.1_ASM2008703v1,2778101,Acremonium sp. FKII-L8-BK-P5,FKII-L8-BK-P5,Ascomycota,,Sordariomycetes,,Hypocreales,Bionectriaceae,Acremonium,Acremonium sp. FKII-L8-BK-P5
GCA_028476805.1_ASM2847680v1,1589764,Acrocalymma vagum,A21,Ascomycota,,Dothideomycetes,,Pleosporales,Acrocalymmaceae,Acrocalymma,Acrocalymma vagum
GCA_058369675.1_ASM5836967v1,1589764,Acrocalymma vagum,DSE3081,Ascomycota,,Dothideomycetes,,Pleosporales,Acrocalymmaceae,Acrocalymma,Acrocalymma vagum
GCA_033807595.1_ASM3380759v1,150365,Acrodontium crateriforme,169a,Ascomycota,,Dothideomycetes,,Mycosphaerellales,Teratosphaeriaceae,Acrodontium,Acrodontium crateriforme
GCA_016098155.1_UCR_MambBC1055_1.0,1343610,Actinomortierella ambigua,BC1065,Mortierellomycota,,Mortierellomycetes,,Mortierellales,Mortierellaceae,Actinomortierella,Actinomortierella ambigua
GCA_015502565.1_UCR_MambBC1291,1343610,Actinomortierella ambigua,BC1291,Mortierellomycota,,Mortierellomycetes,,Mortierellales,Mortierellaceae,Actinomortierella,Actinomortierella ambigua
GCA_015849275.1_UCR_MambNRRL28271_1.0,1343610,Actinomortierella ambigua,NRRL 28271,Mortierellomycota,,Mortierellomycetes,,Mortierellales,Mortierellaceae,Actinomortierella,Actinomortierella ambigua
GCA_016098105.1_UCR_MwolfiiNRRL6351_1.0,90253,Actinomortierella wolfii,NRRL 6351,Mortierellomycota,,Mortierellomycetes,,Mortierellales,Mortierellaceae,Actinomortierella,Actinomortierella wolfii
GCA_016098135.1_UCR_MwolfiiNRRL66265_1.0,90253,Actinomortierella wolfii,NRRL 66265,Mortierellomycota,,Mortierellomycetes,,Mortierellales,Mortierellaceae,Actinomortierella,Actinomortierella wolfii
GCA_026027325.1_ASM2602732v1,64647,Actinomucor elegans,CJ-6,Mucoromycota,,Mucoromycetes,,Mucorales,Mucoraceae,Actinomucor,Actinomucor elegans
GCA_001599635.1_JCM_22485_assembly_v001,64647,Actinomucor elegans,JCM 22485,Mucoromycota,,Mucoromycetes,,Mucorales,Mucoraceae,Actinomucor,Actinomucor elegans
GCA_004216415.1_S18-22,2518135,Aeminium ludgeri,E14,Ascomycota,,Dothideomycetes,,Mycosphaerellales,Aeminiaceae,Aeminium,Aeminium ludgeri
GCA_038094355.1_BD703-Stobilomyces-lepidellus,3095450,Afroboletus lepidellus,UT-M0000099,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Afroboletus,Afroboletus lepidellus
GCA_002718315.1_ASM271831v1,2607230,Agaricales sp. HM26-F1,HM26-F1,Basidiomycota,,Agaricomycetes,,Agaricales,,,Agaricales sp. HM26-F1
GCA_943193715.1_gfAgaBisp1.1,5341,Agaricus bisporus,,Basidiomycota,,Agaricomycetes,,Agaricales,Agaricaceae,Agaricus,Agaricus bisporus
GCA_041430195.1_ASM4143019v1,5341,Agaricus bisporus,A10_9,Basidiomycota,,Agaricomycetes,,Agaricales,Agaricaceae,Agaricus,Agaricus bisporus
GCA_043381075.1_ASM4338107v1,5341,Agaricus bisporus,A13-20,Basidiomycota,,Agaricomycetes,,Agaricales,Agaricaceae,Agaricus,Agaricus bisporus
GCA_046056105.1_ASM4605610v1,5341,Agaricus bisporus,A33_49,Basidiomycota,,Agaricomycetes,,Agaricales,Agaricaceae,Agaricus,Agaricus bisporus
GCA_046056185.1_ASM4605618v1,5341,Agaricus bisporus,A33_62,Basidiomycota,,Agaricomycetes,,Agaricales,Agaricaceae,Agaricus,Agaricus bisporus
GCA_043380955.1_ASM4338095v1,5341,Agaricus bisporus,A58_19,Basidiomycota,,Agaricomycetes,,Agaricales,Agaricaceae,Agaricus,Agaricus bisporus
GCA_037953735.1_ASM3795373v1,5341,Agaricus bisporus,A7_31,Basidiomycota,,Agaricomycetes,,Agaricales,Agaricaceae,Agaricus,Agaricus bisporus
GCA_008271545.1_ASM827154v1,5341,Agaricus bisporus,AB58,Basidiomycota,,Agaricomycetes,,Agaricales,Agaricaceae,Agaricus,Agaricus bisporus
GCA_055470795.1_ASM5547079v1,5341,Agaricus bisporus,AB7,Basidiomycota,,Agaricomycetes,,Agaricales,Agaricaceae,Agaricus,Agaricus bisporus
GCA_006228365.1_ASM622836v1,5341,Agaricus bisporus,KMCC00540,Basidiomycota,,Agaricomycetes,,Agaricales,Agaricaceae,Agaricus,Agaricus bisporus
GCA_006491665.1_MU_Agar_1,192523,Agaricus bisporus var. bisporus,ARP23,Basidiomycota,,Agaricomycetes,,Agaricales,Agaricaceae,Agaricus,Agaricus bisporus
GCA_001682475.1_ASM168247v1,192523,Agaricus bisporus var. bisporus,H39,Basidiomycota,,Agaricomycetes,,Agaricales,Agaricaceae,Agaricus,Agaricus bisporus
GCF_000300575.1_Agabi_varbisH97_2,936046,Agaricus bisporus var. bisporus H97,H97,Basidiomycota,,Agaricomycetes,,Agaricales,Agaricaceae,Agaricus,Agaricus bisporus
GCA_014872705.1_ASM1487270v1,192524,Agaricus bisporus var. burnettii,H119_p4,Basidiomycota,,Agaricomycetes,,Agaricales,Agaricaceae,Agaricus,Agaricus bisporus
GCF_000300555.1_Agabi_varbur_1,597362,Agaricus bisporus var. burnettii JB137-S8,JB137-s8,Basidiomycota,,Agaricomycetes,,Agaricales,Agaricaceae,Agaricus,Agaricus bisporus
GCA_030246685.1_ASM3024668v1,5343,Agaricus bitorquis,BH01,Basidiomycota,,Agaricomycetes,,Agaricales,Agaricaceae,Agaricus,Agaricus bitorquis
GCA_029719445.1_ASM2971944v1,79798,Agaricus blazei,JA-15036,Basidiomycota,,Agaricomycetes,,Agaricales,Agaricaceae,Agaricus,Agaricus blazei
GCA_022315185.1_ASM2231518v1,1550288,Agaricus sinodeliciosus,ZRL20160001-S65,Basidiomycota,,Agaricomycetes,,Agaricales,Agaricaceae,Agaricus,Agaricus sinodeliciosus
GCA_029945375.1_Asub-V01,87252,Agaricus subrufescens,ABL 49,Basidiomycota,,Agaricomycetes,,Agaricales,Agaricaceae,Agaricus,Agaricus subrufescens
GCA_029232285.1_Ca_Agmasoma_carcini_1,2984836,Agmasoma carcini nom. nud.,v1,Microsporidia,,,,,Thelohaniidae,Agmasoma,Agmasoma carcini nom. nud.
GCA_029231695.1_Cm_Agmasoma_carcini_1,2984836,Agmasoma carcini nom. nud.,v2,Microsporidia,,,,,Thelohaniidae,Agmasoma,Agmasoma carcini nom. nud.
GCA_041475395.1_ASM4147539v1,180424,Agroathelia delphinii,SD,Basidiomycota,,Agaricomycetes,,Amylocorticiales,Amylocorticiaceae,Agroathelia,Agroathelia delphinii
GCA_036172465.1_UNINA_Arolf_CCF1,39291,Agroathelia rolfsii,CCF1,Basidiomycota,,Agaricomycetes,,Amylocorticiales,Amylocorticiaceae,Agroathelia,Agroathelia rolfsii
GCA_018343915.1_ASM1834391v1,39291,Agroathelia rolfsii,GP3,Basidiomycota,,Agaricomycetes,,Amylocorticiales,Amylocorticiaceae,Agroathelia,Agroathelia rolfsii
GCA_052928445.1_ASM5292844v1,39291,Agroathelia rolfsii,LC-1,Basidiomycota,,Agaricomycetes,,Amylocorticiales,Amylocorticiaceae,Agroathelia,Agroathelia rolfsii
GCA_000961905.2_AthRolfv2.0,39291,Agroathelia rolfsii,MR10,Basidiomycota,,Agaricomycetes,,Amylocorticiales,Amylocorticiaceae,Agroathelia,Agroathelia rolfsii
GCA_002940785.1_ASM294078v1,39291,Agroathelia rolfsii,Sr-RCBB,Basidiomycota,,Agaricomycetes,,Amylocorticiales,Amylocorticiaceae,Agroathelia,Agroathelia rolfsii
GCA_018343895.1_ASM1834389v1,39291,Agroathelia rolfsii,ZY,Basidiomycota,,Agaricomycetes,,Amylocorticiales,Amylocorticiaceae,Agroathelia,Agroathelia rolfsii
GCA_027627235.1_Agrocybe_chaxingu_MP-N11_reassembly,84603,Agrocybe chaxingu,MP-N11,Basidiomycota,,Agaricomycetes,,Agaricales,Agrocybaceae,Agrocybe,Agrocybe chaxingu
GCA_015484485.1_Agrped1,84607,Agrocybe pediades,AH 40210,Basidiomycota,,Agaricomycetes,,Agaricales,Agrocybaceae,Agrocybe,Agrocybe pediades
GCA_013053245.1_LU_AGP_1.0,84607,Agrocybe pediades,CBS 102.39,Basidiomycota,,Agaricomycetes,,Agaricales,Agrocybaceae,Agrocybe,Agrocybe pediades
GCA_051996695.1_ASM5199669v1,84607,Agrocybe pediades,ZRL20220683_2,Basidiomycota,,Agaricomycetes,,Agaricales,Agrocybaceae,Agrocybe,Agrocybe pediades
GCA_964017145.1_gfAgrPrae1.1,71668,Agrocybe praecox,,Basidiomycota,,Agaricomycetes,,Agaricales,Agrocybaceae,Agrocybe,Agrocybe praecox
GCA_051996675.1_ASM5199667v1,3018807,Agrocybe striatipes,ZRL20211296,Basidiomycota,,Agaricomycetes,,Agaricales,Agrocybaceae,Agrocybe,Agrocybe striatipes
GCA_022814335.1_ASM2281433v1,443868,Agyrium rufum,Spribille 39798,Ascomycota,,Lecanoromycetes,,Pertusariales,Pertusariaceae,Agyrium,Agyrium rufum
GCA_051529075.1_YNP63,2259046,Akanthomyces attenuatus,MUC8126,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces attenuatus
GCA_030411515.1_ASM3041151v1,132109,Akanthomyces dipterigenus,MBC 259,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces dipterigenus
GCA_030779985.1_ASM3077998v1,132109,Akanthomyces dipterigenus,MBC 561,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces dipterigenus
GCA_030781665.1_ASM3078166v1,132109,Akanthomyces dipterigenus,MBC 608,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces dipterigenus
GCA_030782645.1_ASM3078264v1,132109,Akanthomyces dipterigenus,MBC 628,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces dipterigenus
GCA_030781925.1_ASM3078192v1,132109,Akanthomyces dipterigenus,MBC 678,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces dipterigenus
GCA_030783805.1_ASM3078380v1,132109,Akanthomyces dipterigenus,MBC 685,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces dipterigenus
GCA_030783725.1_ASM3078372v1,132109,Akanthomyces dipterigenus,MBC 690,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces dipterigenus
GCA_030783745.1_ASM3078374v1,132109,Akanthomyces dipterigenus,MBC 691,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces dipterigenus
GCA_030783385.1_ASM3078338v1,132109,Akanthomyces dipterigenus,MBC 701,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces dipterigenus
GCA_030783265.1_ASM3078326v1,132109,Akanthomyces dipterigenus,MBC 708,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces dipterigenus
GCA_030784025.1_ASM3078402v1,132109,Akanthomyces dipterigenus,MBC 741,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces dipterigenus
GCA_051527285.1_YNP42,132109,Akanthomyces dipterigenus,MUC9702,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces dipterigenus
GCA_016170065.1_ASM1617006v1,2714763,Akanthomyces lecanii,CJL01,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces lecanii
GCA_051527755.1_YNP1,2714763,Akanthomyces lecanii,DSM 111009,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces lecanii
GCA_030411575.1_ASM3041157v1,2714763,Akanthomyces lecanii,MBC 123,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces lecanii
GCA_032354155.1_ASM3235415v1,2714763,Akanthomyces lecanii,MBC 153,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces lecanii
GCA_030772815.1_ASM3077281v1,2714763,Akanthomyces lecanii,MBC 159,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces lecanii
GCA_030780265.1_ASM3078026v1,2714763,Akanthomyces lecanii,MBC 542,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces lecanii
GCA_030781825.1_ASM3078182v1,2714763,Akanthomyces lecanii,MBC 603,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces lecanii
GCA_030783985.1_ASM3078398v1,2714763,Akanthomyces lecanii,MBC 729,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces lecanii
GCA_030785975.1_ASM3078597v1,2714763,Akanthomyces lecanii,MBC 801,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces lecanii
GCA_030789525.1_ASM3078952v1,2714763,Akanthomyces lecanii,MBC 901,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces lecanii
GCA_051529055.1_YNP64,2714763,Akanthomyces lecanii,MUC8115,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces lecanii
GCA_001653215.1_ASM165321v1,2714763,Akanthomyces lecanii,UM487,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces lecanii
GCA_054134475.1_Lecanicillium_lecanii_V198499_v1,2714763,Akanthomyces lecanii,V198499,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces lecanii
GCA_001636795.1_LEL_1.0,1081108,Akanthomyces lecanii RCEF 1005,RCEF 1005,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces lecanii
GCA_040955805.1_AKA_AC3,2231603,Akanthomyces muscarius,AC3,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces muscarius
GCA_051527555.1_YNP2,2231603,Akanthomyces muscarius,DSM 3411,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces muscarius
GCA_051529015.1_YNP65,2231603,Akanthomyces muscarius,MUC9713,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces muscarius
GCF_028009165.1_ASM2800916v1,2231603,Akanthomyces muscarius,Ve6,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces muscarius
GCA_051528755.1_YNP78,3120208,Akanthomyces sp. G78,G78,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces sp. G78
GCA_030778065.2_ASM3077806v2,2487154,Akanthomyces uredinophilus,MBC 350,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces uredinophilus
GCA_030783525.2_ASM3078352v2,2487154,Akanthomyces uredinophilus,MBC 695,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces uredinophilus
GCA_003314395.1_ASM331439v1,80570,Albatrellus ellisii,MG60,Basidiomycota,,Agaricomycetes,,Russulales,Albatrellaceae,Albatrellus,Albatrellus ellisii
GCA_003314695.1_ASM331469v1,2175974,Albatrellus sp. MG142,MG142,Basidiomycota,,Agaricomycetes,,Russulales,Albatrellaceae,Albatrellus,Albatrellus sp. MG142
GCA_930272555.1_Myrothecium_verrucaria_DSM_2087_genome,1859699,Albifimbria verrucaria,DSM 2087,Ascomycota,,Sordariomycetes,,Hypocreales,Stachybotryaceae,Albifimbria,Albifimbria verrucaria
GCA_020081605.1_ASM2008160v1,1859699,Albifimbria verrucaria,IMI 368023,Ascomycota,,Sordariomycetes,,Hypocreales,Stachybotryaceae,Albifimbria,Albifimbria verrucaria
GCA_021442215.1_ASM2144221v1,1859699,Albifimbria verrucaria,Mv01,Ascomycota,,Sordariomycetes,,Hypocreales,Stachybotryaceae,Albifimbria,Albifimbria verrucaria
GCA_051623215.1_EHU_AYaman_Ill_Nano,1635095,Albophoma yamanashiensis,EHU_M98,Ascomycota,,Sordariomycetes,,Hypocreales,Ophiocordycipitaceae,Albophoma,Albophoma yamanashiensis
GCA_001600555.1_JCM_11844_assembly_v001,1635095,Albophoma yamanashiensis,JCM 11844,Ascomycota,,Sordariomycetes,,Hypocreales,Ophiocordycipitaceae,Albophoma,Albophoma yamanashiensis
GCA_043388365.1_UoE_Agrylli_1,3367401,Albopleistophora grylli,EB-2024a,Microsporidia,,,,,Pleistophoridae,Albopleistophora,Albopleistophora grylli
GCA_905337325.1_GTX0161_lecanoromycete,1903189,Alectoria fallacina,,Ascomycota,,Lecanoromycetes,,Lecanorales,Parmeliaceae,Alectoria,Alectoria fallacina
GCA_964257205.1_private_VT19_concoct_bin.7,111641,Alectoria ochroleuca,,Ascomycota,,Lecanoromycetes,,Lecanorales,Parmeliaceae,Alectoria,Alectoria ochroleuca
GCA_964255965.1_private_X12_concoct_bin.4,111643,Alectoria sarmentosa,,Ascomycota,,Lecanoromycetes,,Lecanorales,Parmeliaceae,Alectoria,Alectoria sarmentosa
GCA_009733775.1_ASM973377v1,111643,Alectoria sarmentosa,MAF-Lich 21536,Ascomycota,,Lecanoromycetes,,Lecanorales,Parmeliaceae,Alectoria,Alectoria sarmentosa
GCA_024752435.1_ASM2475243v1,1484957,Allantophomopsis cytisporea,ATCC 66955,Ascomycota,,Leotiomycetes,,Phacidiales,Phacidiaceae,Allantophomopsis,Allantophomopsis cytisporea
GCA_024752465.1_ASM2475246v1,334518,Allantophomopsis lycopodina,ATCC 66958,Ascomycota,,Leotiomycetes,,Phacidiales,Phacidiaceae,Allantophomopsis,Allantophomopsis lycopodina
GCA_030581615.1_ASM3058161v1,27309,Alloascoidea africana,NRRL Y-6762-3,Ascomycota,,Alloascoideomycetes,,Alloascoideales,Alloascoideaceae,Alloascoidea,Alloascoidea africana
GCA_001600815.1_JCM_7604_assembly_v001,54196,Alloascoidea hylecoeti,JCM 7604,Ascomycota,,Alloascoideomycetes,,Alloascoideales,Alloascoideaceae,Alloascoidea,Alloascoidea hylecoeti
GCA_030555715.1_ASM3055571v1,54196,Alloascoidea hylecoeti,NRRL Y-17634,Ascomycota,,Alloascoideomycetes,,Alloascoideales,Alloascoideaceae,Alloascoidea,Alloascoidea hylecoeti
GCA_030565225.1_ASM3056522v1,1936035,Allodekkera sacchari,CBS 14167,Ascomycota,,Pichiomycetes,,Pichiales,Pichiaceae,Allodekkera,Allodekkera sacchari
GCA_027604705.1_ASM2760470v1,64504,Allomyces arbusculus,Burma 1F,Blastocladiomycota,,Blastocladiomycetes,,Blastocladiales,Blastocladiaceae,Allomyces,Allomyces arbusculus
GCA_027604645.1_ASM2760464v1,64505,Allomyces javanicus,California 12,Blastocladiomycota,,Blastocladiomycetes,,Blastocladiales,Blastocladiaceae,Allomyces,Allomyces javanicus
GCA_000151295.1_A_macrogynus_V3,578462,Allomyces macrogynus ATCC 38327,ATCC 38327,Blastocladiomycota,,Blastocladiomycetes,,Blastocladiales,Blastocladiaceae,Allomyces,Allomyces macrogynus
GCA_058321855.1_ASM5832185v1,3699109,Alloperoneutypa sp. GZCC 26-0136,GZCC 26-0136,Ascomycota,,Sordariomycetes,,Xylariales,Diatrypaceae,Alloperoneutypa,Alloperoneutypa sp. GZCC 26-0136
GCA_053542345.1_ASM5354234v1,1111114,Alternaria alstroemeriae,L6,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria alstroemeriae
GCA_037044435.1_ASM3704443v1,1111114,Alternaria alstroemeriae,LH_A124,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria alstroemeriae
GCA_036971565.1_ALTB1129b1.0,1281297,Alternaria alternarina,TB-1129,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria alternarina
GCA_059336435.1_ASM5933643v1,5599,Alternaria alternata,22A,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria alternata
GCA_059336485.1_ASM5933648v1,5599,Alternaria alternata,24A,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria alternata
GCA_059336645.1_ASM5933664v1,5599,Alternaria alternata,29C,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria alternata
GCA_059336575.1_ASM5933657v1,5599,Alternaria alternata,47A,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria alternata
GCA_050711485.1_ASM5071148v1,5599,Alternaria alternata,AEH-2221,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria alternata
GCA_050710795.1_ASM5071079v1,5599,Alternaria alternata,AEH-2368,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria alternata
